Glottocode,Language,Family,Ergon_ID,Source_comment,Value,Comment,curated,curated_comment,final_value
huas1242,Huastec,Mayan,GB409_1,"Kondić, 2012, vol1: p. 132, 253",1,,,,1
huas1242,Huastec,Mayan,GB409_2,"Kondić, 2012, vol1: p. 250, vol2: 125",1,,,,1
huas1242,Huastec,Mayan,GB409_3,"Kondić, 2012, vol1: p. 270, vol2: p. 125",1,,,,1
huas1242,Huastec,Mayan,GB409_4,"Kondić, 2012, vol1: p. 273, vol2: p. 125",1,,,,1
huas1242,Huastec,Mayan,GB409_5,"Kondić, 2012, vol1: p. 250-273, vol2: p. 125",1,,,,1
huas1242,Huastec,Mayan,GB409_6,"Kondić, 2012, vol1: p. 247",1,,,,1
huas1242,Huastec,Mayan,GB409_7,"Kondić, 2012, vol1: p. 253",1,,,,1
huas1242,Huastec,Mayan,GB409_8,"Kondić, 2012, vol1: p. 246, 250, vol2: p. 14",1,,,,1
huas1242,Huastec,Mayan,GB409_9,"Kondić, 2012, vol1: p. 247",1,,,,1
huas1242,Huastec,Mayan,GB409_10,"Kondić, 2012, vol1: p. 250",1,,,,1
huas1242,Huastec,Mayan,GB409_11,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
huas1242,Huastec,Mayan,GB409_12,"Kondić, 2012, vol1: p. 246, 250",1,,,,1
huas1242,Huastec,Mayan,GB409_13,"Kondić, 2012, vol1: p. 14, 18",1,,,,1
huas1242,Huastec,Mayan,GB409_14,"Kondić, 2012, vol1: p. 250-273",1,,,,1
huas1242,Huastec,Mayan,GB409_15,"Kondić, 2012, vol1: p. 250-273",0,,,,0
huas1242,Huastec,Mayan,GB409_16,"Kondić, 2012, vol1: p. 250-273",1,,,,1
huas1242,Huastec,Mayan,GB409_17,"Kondić, 2012, vol1: p. 250-273",0,,,,0
huas1242,Huastec,Mayan,GB409_18,"Kondić, 2012, vol1: p. 250-273",1,,,,1
huas1242,Huastec,Mayan,GB409_19,"Kondić, 2012, vol1: p. 250-273",0,,,,0
huas1242,Huastec,Mayan,GB409_20,"Kondić, 2012, vol1: p. 250-273",1,,,,1
huas1242,Huastec,Mayan,GB409_21,"Kondić, 2012, vol1: p. 250-273, vol2: p.14-18",0,,,,0
huas1242,Huastec,Mayan,GB409_22,"Kondić, 2012, vol2: p.117",1,"""El HSF tiene un sistema de marcado de personas bastante particular en comparación con otras lenguas mayas: las lenguas del grupo huasteca utilizan tres juegos diferentes de marcas de personas, y no dos como en las otras lenguas mayas. El sistema de marcado de personas en HSF no es un sistema ergativo típico, sino que reúne a un sistema inverso. Las lenguas huastecanas han desarrollado un sistema inverso atípico; estas lenguas son las únicas lenguas mayas que codifican el acuerdo transitivo de las personas de esta manera. Zavala (1993) publicó un extenso estudio de este problema"".",,,1
huas1242,Huastec,Mayan,GB409_23,"Kondić, 2012, vol1: p. 264",0,,,,0
huas1242,Huastec,Mayan,GB409_24,"Kondić, 2012, vol1: p. 407",0,,,,0
