Glottocode,Language,Family,Ergon_ID,Source_comment,Value,Comment,curated,curated_comment,final_value
iaai1238,Iaai,Austronesian,GB409_1,"Ozanne-Rivierre 1976:133, 148-149",0,La gramática está en francés,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0.",0
iaai1238,Iaai,Austronesian,GB409_2,"Ozanne-Rivierre 1976:133, 148-149",0,La gramática está en francés,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0.",0
iaai1238,Iaai,Austronesian,GB409_3,"Ozanne-Rivierre 1976:133, 148-149",0,La gramática está en francés,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0.",0
iaai1238,Iaai,Austronesian,GB409_4,"Ozanne-Rivierre 1976:133, 148-149",0,La gramática está en francés,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0.",0
iaai1238,Iaai,Austronesian,GB409_5,"Ozanne-Rivierre 1976:133, 148-149",0,La gramática está en francés,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0.",0
iaai1238,Iaai,Austronesian,GB409_6,"Ozanne-Rivierre 1976:133, 148-149",0,La gramática está en francés,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0.",0
iaai1238,Iaai,Austronesian,GB409_7,"Ozanne-Rivierre 1976:133, 148-149",0,La gramática está en francés,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0.",0
iaai1238,Iaai,Austronesian,GB409_8,"Ozanne-Rivierre 1976:133, 148-149",0,La gramática está en francés,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0.",0
iaai1238,Iaai,Austronesian,GB409_9,"Ozanne-Rivierre 1976:133, 148-149",0,La gramática está en francés,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0.",0
iaai1238,Iaai,Austronesian,GB409_10,"Ozanne-Rivierre 1976:133, 148-149",0,La gramática está en francés,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0.",0
iaai1238,Iaai,Austronesian,GB409_11,"Ozanne-Rivierre 1976:133, 148-149",0,La gramática está en francés,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0.",0
iaai1238,Iaai,Austronesian,GB409_12,"Ozanne-Rivierre 1976:133, 148-149",0,La gramática está en francés,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0.",0
iaai1238,Iaai,Austronesian,GB409_13,"Ozanne-Rivierre 1976:133, 148-149",0,La gramática está en francés,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0.",0
iaai1238,Iaai,Austronesian,GB409_14,"Ozanne-Rivierre 1976:133, 148-149",0,La gramática está en francés,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0.",0
iaai1238,Iaai,Austronesian,GB409_15,"Ozanne-Rivierre 1976:133, 148-149",0,La gramática está en francés,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0.",0
iaai1238,Iaai,Austronesian,GB409_16,"Ozanne-Rivierre 1976:133, 148-149",0,La gramática está en francés,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0.",0
iaai1238,Iaai,Austronesian,GB409_17,"Ozanne-Rivierre 1976:133, 148-149",0,La gramática está en francés,0,"Iaai has no ergative alignment. Ozanne-Rivierre (1976:148-149) §4.37-4.39: PERSONNELS 1 (agent) mark ALL subjects — both S of intransitives and A of transitives (same forms for attributive/stative and active subjects). PERSONNELS 2 (objet) mark objects. §4.3 (p.133): lexical NPs appear in unmarked form postposed to the verb. Transitivity is marked on the verb, not on NP arguments (§4.8, p.134). The label '(agent)' refers to semantic role, not to an ergative/absolutive distinction. Value changed from '?' to 0.",0
