Glottocode,Language,Family,Ergon_ID,Source_comment,Value,Comment,curated,curated_comment,final_value
ibal1244,Ibaloi,Austronesian,GB409_1,"Ruffolo, 2005,",0,,,,0
ibal1244,Ibaloi,Austronesian,GB409_2,"Ruffolo, 2005, p. 119",1,,,,1
ibal1244,Ibaloi,Austronesian,GB409_3,"Ruffolo, 2005, p. 569",1,,,,1
ibal1244,Ibaloi,Austronesian,GB409_4,"Ruffolo, 2005, p. 368",1,,,,1
ibal1244,Ibaloi,Austronesian,GB409_5,"Ruffolo, 2005, p. 119, 368, 567",1,,,,1
ibal1244,Ibaloi,Austronesian,GB409_6,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
ibal1244,Ibaloi,Austronesian,GB409_7,"Ruffolo, 2005, p. 573",1,,,,1
ibal1244,Ibaloi,Austronesian,GB409_8,"Ruffolo, 2005, p. 558",1,,,,1
ibal1244,Ibaloi,Austronesian,GB409_9,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
ibal1244,Ibaloi,Austronesian,GB409_10,"Ruffolo, 2005, p. 567",1,,,,1
ibal1244,Ibaloi,Austronesian,GB409_11,,,,,,
ibal1244,Ibaloi,Austronesian,GB409_12,"Ruffolo, 2005, p. 567",1,,,,1
ibal1244,Ibaloi,Austronesian,GB409_13,"Ruffolo, 2005, p. 568",1,,,,1
ibal1244,Ibaloi,Austronesian,GB409_14,"Ruffolo, 2005, p. 368",1,,,,1
ibal1244,Ibaloi,Austronesian,GB409_15,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
ibal1244,Ibaloi,Austronesian,GB409_16,"Ruffolo, 2005, p. 368",1,,,,1
ibal1244,Ibaloi,Austronesian,GB409_17,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
ibal1244,Ibaloi,Austronesian,GB409_18,"Ruffolo, 2005, p. 561",1,,,,1
ibal1244,Ibaloi,Austronesian,GB409_19,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
ibal1244,Ibaloi,Austronesian,GB409_20,"Ruffolo, 2005, p. 368",1,,,,1
ibal1244,Ibaloi,Austronesian,GB409_21,"Ruffolo, 2005, p. 124",1,,,,1
ibal1244,Ibaloi,Austronesian,GB409_22,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
ibal1244,Ibaloi,Austronesian,GB409_23,"Ruffolo, 2005, p. 369",1,,,,1
ibal1244,Ibaloi,Austronesian,GB409_24,"Ruffolo, 2005, p. 107",0,,,,0
