Glottocode,Language,Family,Ergon_ID,Source_comment,Value,Comment,curated,curated_comment,final_value
iban1267,Iban,Austronesian,GB409_1,"Dita, 2010, p. 6",1,,,,1
iban1267,Iban,Austronesian,GB409_2,"Dita, 2010, p. 6",1,,,,1
iban1267,Iban,Austronesian,GB409_3,"Dita, 2010, p. 24",1,,,,1
iban1267,Iban,Austronesian,GB409_4,"Dita, 2010, p. 25",1,,,,1
iban1267,Iban,Austronesian,GB409_5,"Dita, 2010, p. 6, 24-25",1,,,,1
iban1267,Iban,Austronesian,GB409_6,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
iban1267,Iban,Austronesian,GB409_7,"Dita, 2010, p. 6",1,,,,1
iban1267,Iban,Austronesian,GB409_8,"Dita, 2010, p. 54",1,,,,1
iban1267,Iban,Austronesian,GB409_9,"Dita, 2010, p. 25",1,,,,1
iban1267,Iban,Austronesian,GB409_10,"Dita, 2010, p. 6",1,,,,1
iban1267,Iban,Austronesian,GB409_11,"Dita, 2010, p. 25",1,,,,1
iban1267,Iban,Austronesian,GB409_12,"Dita, 2010, p. 6",1,,,,1
iban1267,Iban,Austronesian,GB409_13,"Dita, 2010, p. 25",1,,,,1
iban1267,Iban,Austronesian,GB409_14,"Dita, 2010, p. 6",1,,,,1
iban1267,Iban,Austronesian,GB409_15,"Dita, 2010, p. 6",0,,,,0
iban1267,Iban,Austronesian,GB409_16,"Dita, 2010, p. 6",1,,,,1
iban1267,Iban,Austronesian,GB409_17,"Dita, 2010, p. 6",0,,,,0
iban1267,Iban,Austronesian,GB409_18,"Dita, 2010, p. 6",1,,,,1
iban1267,Iban,Austronesian,GB409_19,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
iban1267,Iban,Austronesian,GB409_20,"Dita, 2010, p. 25",1,,,,1
iban1267,Iban,Austronesian,GB409_21,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
iban1267,Iban,Austronesian,GB409_22,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
iban1267,Iban,Austronesian,GB409_23,"Dita, 2010, p. 29",1,,,,1
iban1267,Iban,Austronesian,GB409_24,"Dita, 2010, p. 167",0,,,,0
