Glottocode,Language,Family,Ergon_ID,Source_comment,Value,Comment,curated,curated_comment,final_value
jaru1254,Jaru,Pama-Nyungan,GB409_1,"Tsunoda, 1981, p. 165",1,,,,1
jaru1254,Jaru,Pama-Nyungan,GB409_2,"Tsunoda, 1981, p. 165",1,,,,1
jaru1254,Jaru,Pama-Nyungan,GB409_3,"Tsunoda, 1981, p. 240",1,,,,1
jaru1254,Jaru,Pama-Nyungan,GB409_4,"Tsunoda, 1981, p. 248",1,,,,1
jaru1254,Jaru,Pama-Nyungan,GB409_5,"Tsunoda, 1981, p. 165, 240, 248",1,,,,1
jaru1254,Jaru,Pama-Nyungan,GB409_6,"Tsunoda, 1981, p. 240",1,,,,1
jaru1254,Jaru,Pama-Nyungan,GB409_7,"Tsunoda, 1981, p. 248",1,,,,1
jaru1254,Jaru,Pama-Nyungan,GB409_8,"Tsunoda, 1981, p. 239",1,,,,1
jaru1254,Jaru,Pama-Nyungan,GB409_9,"Tsunoda, 1981, p. 147",1,,,,1
jaru1254,Jaru,Pama-Nyungan,GB409_10,"Tsunoda, 1981, p. 248",1,,,,1
jaru1254,Jaru,Pama-Nyungan,GB409_11,"Tsunoda, 1981, p. 147",1,,,,1
jaru1254,Jaru,Pama-Nyungan,GB409_12,"Tsunoda, 1981, p. 248",1,,,,1
jaru1254,Jaru,Pama-Nyungan,GB409_13,"Tsunoda, 1981, p. 147",1,,,,1
jaru1254,Jaru,Pama-Nyungan,GB409_14,"Tsunoda, 1981, p. 248",1,,,,1
jaru1254,Jaru,Pama-Nyungan,GB409_15,"Tsunoda, 1981, p. 228",1,,,,1
jaru1254,Jaru,Pama-Nyungan,GB409_16,"Tsunoda, 1981, p. 248",1,,,,1
jaru1254,Jaru,Pama-Nyungan,GB409_17,"Tsunoda, 1981, p. 228",1,,,,1
jaru1254,Jaru,Pama-Nyungan,GB409_18,"Tsunoda, 1981, p. 248",1,,,,1
jaru1254,Jaru,Pama-Nyungan,GB409_19,"Tsunoda, 1981, p. 257",1,,,,1
jaru1254,Jaru,Pama-Nyungan,GB409_20,"Tsunoda, 1981, p. 248",1,,,,1
jaru1254,Jaru,Pama-Nyungan,GB409_21,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
jaru1254,Jaru,Pama-Nyungan,GB409_22,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
jaru1254,Jaru,Pama-Nyungan,GB409_23,"Tsunoda, 1981, p. 66",0,,,,0
jaru1254,Jaru,Pama-Nyungan,GB409_24,"Tsunoda, 1981, p. 155",0,,,,0
