Glottocode,Language,Family,Ergon_ID,Source_comment,Value,Comment,curated,curated_comment,final_value
kaga1256,Kagayanen,Austronesian,GB409_1,"Pebley y Macgregor, 2024, p. 487",1,erg:din / abs: kanen,,,1
kaga1256,Kagayanen,Austronesian,GB409_2,"Pebley y Macgregor, 2024, p. 659",1,,,,1
kaga1256,Kagayanen,Austronesian,GB409_3,"Pebley y Macgregor, 2024, p. 669",1,,,,1
kaga1256,Kagayanen,Austronesian,GB409_4,"Pebley y Macgregor, 2024, p. 487",1,,,,1
kaga1256,Kagayanen,Austronesian,GB409_5,"Pebley y Macgregor, 2024",1,,,,1
kaga1256,Kagayanen,Austronesian,GB409_6,"Pebley y Macgregor, 2024, p. 525",1,,,,1
kaga1256,Kagayanen,Austronesian,GB409_7,"Pebley y Macgregor, 2024, p. 487",1,,,,1
kaga1256,Kagayanen,Austronesian,GB409_8,"Pebley y Macgregor, 2024, p. 659",1,,,,1
kaga1256,Kagayanen,Austronesian,GB409_9,"Pebley y Macgregor, 2024, p. 525",1,,,,1
kaga1256,Kagayanen,Austronesian,GB409_10,"Pebley y Macgregor, 2024, p. 487",1,,,,1
kaga1256,Kagayanen,Austronesian,GB409_11,"Pebley y Macgregor, 2024, p. 525",1,,,,1
kaga1256,Kagayanen,Austronesian,GB409_12,"Pebley y Macgregor, 2024, p. 487",1,,,,1
kaga1256,Kagayanen,Austronesian,GB409_13,"Pebley y Macgregor, 2024, p. 525",1,,,,1
kaga1256,Kagayanen,Austronesian,GB409_14,"Pebley y Macgregor, 2024, p. 487",1,,,,1
kaga1256,Kagayanen,Austronesian,GB409_15,"Pebley y Macgregor, 2024, p. 487",0,,,,0
kaga1256,Kagayanen,Austronesian,GB409_16,"Pebley y Macgregor, 2024, p. 487",1,,,,1
kaga1256,Kagayanen,Austronesian,GB409_17,"Pebley y Macgregor, 2024, p. 487",0,,,,0
kaga1256,Kagayanen,Austronesian,GB409_18,"Pebley y Macgregor, 2024, p. 487",1,,,,1
kaga1256,Kagayanen,Austronesian,GB409_19,"Pebley y Macgregor, 2024",0,,,,0
kaga1256,Kagayanen,Austronesian,GB409_20,"Pebley y Macgregor, 2024, p. 487",1,,,,1
kaga1256,Kagayanen,Austronesian,GB409_21,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kaga1256,Kagayanen,Austronesian,GB409_22,"Pebley y Macgregor, 2024",0,,,,0
kaga1256,Kagayanen,Austronesian,GB409_23,"Pebley y Macgregor, 2024, p. 494-496",1,,,,1
kaga1256,Kagayanen,Austronesian,GB409_24,"Pebley y Macgregor, 2024, p. 515",1,la marca de absolutivo es la misma que la de instrumental,,,1
