Glottocode,Language,Family,Ergon_ID,Source_comment,Value,Comment,curated,curated_comment,final_value
kaik1246,Kaike,Trans-Himalayan,GB409_1,"Regmi, 2013, p. 101",0,La marca es ø,,,0
kaik1246,Kaike,Trans-Himalayan,GB409_2,"Regmi, 2013, p. 121",1,,,,1
kaik1246,Kaike,Trans-Himalayan,GB409_3,"Regmi, 2013, p. 171",1,,,,1
kaik1246,Kaike,Trans-Himalayan,GB409_4,"Regmi, 2013, p. 121",1,,,,1
kaik1246,Kaike,Trans-Himalayan,GB409_5,"Regmi, 2013",1,,,,1
kaik1246,Kaike,Trans-Himalayan,GB409_6,"Regmi, 2013, p. 89",1,,,,1
kaik1246,Kaike,Trans-Himalayan,GB409_7,"Regmi, 2013, p. 85",1,,,,1
kaik1246,Kaike,Trans-Himalayan,GB409_8,"Regmi, 2013, p. 121",1,,,,1
kaik1246,Kaike,Trans-Himalayan,GB409_9,"Regmi, 2013, p. 89",1,,,,1
kaik1246,Kaike,Trans-Himalayan,GB409_10,"Regmi, 2013, p. 85",1,,,,1
kaik1246,Kaike,Trans-Himalayan,GB409_11,"Regmi, 2013, p. 121",1,,,,1
kaik1246,Kaike,Trans-Himalayan,GB409_12,"Regmi, 2013, p. 85",1,,,,1
kaik1246,Kaike,Trans-Himalayan,GB409_13,"Regmi, 2013, p. 121",1,,,,1
kaik1246,Kaike,Trans-Himalayan,GB409_14,"Regmi, 2013, p. 121",1,,,,1
kaik1246,Kaike,Trans-Himalayan,GB409_15,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kaik1246,Kaike,Trans-Himalayan,GB409_16,"Regmi, 2013, p. 121",1,,,,1
kaik1246,Kaike,Trans-Himalayan,GB409_17,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kaik1246,Kaike,Trans-Himalayan,GB409_18,"Regmi, 2013, p. 121",1,,,,1
kaik1246,Kaike,Trans-Himalayan,GB409_19,,,,,,
kaik1246,Kaike,Trans-Himalayan,GB409_20,"Regmi, 2013, p. 121",1,,,,1
kaik1246,Kaike,Trans-Himalayan,GB409_21,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kaik1246,Kaike,Trans-Himalayan,GB409_22,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kaik1246,Kaike,Trans-Himalayan,GB409_23,"Regmi, 2013, p. 182",1,,,,1
kaik1246,Kaike,Trans-Himalayan,GB409_24,"Regmi, 2013, p. 182",1,,,,1
