Glottocode,Language,Family,Ergon_ID,Source_comment,Value,Comment,curated,curated_comment,final_value
kalk1246,Kalkatungu,Pama-Nyungan,GB409_1,,,,,,
kalk1246,Kalkatungu,Pama-Nyungan,GB409_2,"Blake, 1979, 48",1,,,,1
kalk1246,Kalkatungu,Pama-Nyungan,GB409_3,"Blake, 1979, 156",1,,,,1
kalk1246,Kalkatungu,Pama-Nyungan,GB409_4,"Blake, 1979, 157",1,,,,1
kalk1246,Kalkatungu,Pama-Nyungan,GB409_5,"Blake, 1979",1,,,,1
kalk1246,Kalkatungu,Pama-Nyungan,GB409_6,"Blake, 1979, 86",1,,,,1
kalk1246,Kalkatungu,Pama-Nyungan,GB409_7,"Blake, 1979, 48",1,,,,1
kalk1246,Kalkatungu,Pama-Nyungan,GB409_8,"Blake, 1979, 153",1,,,,1
kalk1246,Kalkatungu,Pama-Nyungan,GB409_9,"Blake, 1979, 66",1,,,,1
kalk1246,Kalkatungu,Pama-Nyungan,GB409_10,"Blake, 1979, 48",1,,,,1
kalk1246,Kalkatungu,Pama-Nyungan,GB409_11,"Blake, 1979, 86",1,,,,1
kalk1246,Kalkatungu,Pama-Nyungan,GB409_12,"Blake, 1979, 48",1,,,,1
kalk1246,Kalkatungu,Pama-Nyungan,GB409_13,"Blake, 1979, 74",1,,,,1
kalk1246,Kalkatungu,Pama-Nyungan,GB409_14,"Blake, 1979, 48",1,,,,1
kalk1246,Kalkatungu,Pama-Nyungan,GB409_15,"Blake, 1979, 48",1,,,,1
kalk1246,Kalkatungu,Pama-Nyungan,GB409_16,"Blake, 1979, 48",1,,,,1
kalk1246,Kalkatungu,Pama-Nyungan,GB409_17,"Blake, 1979, 48",1,,,,1
kalk1246,Kalkatungu,Pama-Nyungan,GB409_18,"Blake, 1979, 48",1,,,,1
kalk1246,Kalkatungu,Pama-Nyungan,GB409_19,"Blake, 1979, 114",1,,,,1
kalk1246,Kalkatungu,Pama-Nyungan,GB409_20,"Blake, 1979, 48",1,,,,1
kalk1246,Kalkatungu,Pama-Nyungan,GB409_21,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kalk1246,Kalkatungu,Pama-Nyungan,GB409_22,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kalk1246,Kalkatungu,Pama-Nyungan,GB409_23,"Blake, 1979, 23",1,,,,1
kalk1246,Kalkatungu,Pama-Nyungan,GB409_24,"Blake, 1979, 42",1,,,,1
