Glottocode,Language,Family,Ergon_ID,Source_comment,Value,Comment,curated,curated_comment,final_value
kank1243,Kankanaey,Austronesian,GB409_1,"Allen, 2011, p. 7",1,,,,1
kank1243,Kankanaey,Austronesian,GB409_2,"Allen, 2011, p. 11",0,,,,0
kank1243,Kankanaey,Austronesian,GB409_3,"Allen, 2011, p. 11",0,,,,0
kank1243,Kankanaey,Austronesian,GB409_4,"Allen, 2011, p. 11",1,la única manifestación de ergatividad se ve en  tercera persona singular.,,,1
kank1243,Kankanaey,Austronesian,GB409_5,"Allen, 2011, p. 265",1,,,,1
kank1243,Kankanaey,Austronesian,GB409_6,"Allen, 2011, p. 214",1,,,,1
kank1243,Kankanaey,Austronesian,GB409_7,"Allen, 2011, p. 181",1,,,,1
kank1243,Kankanaey,Austronesian,GB409_8,"Allen, 2011, p. 181",1,,,,1
kank1243,Kankanaey,Austronesian,GB409_9,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kank1243,Kankanaey,Austronesian,GB409_10,"Allen, 2011, p. 181",1,,,,1
kank1243,Kankanaey,Austronesian,GB409_11,"Allen, 2011, p. 214",1,,,,1
kank1243,Kankanaey,Austronesian,GB409_12,"Allen, 2011, p. 214",1,,,,1
kank1243,Kankanaey,Austronesian,GB409_13,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kank1243,Kankanaey,Austronesian,GB409_14,"Allen, 2011, p. 231",1,,,,1
kank1243,Kankanaey,Austronesian,GB409_15,"Allen, 2011, p. 231",0,,,,0
kank1243,Kankanaey,Austronesian,GB409_16,"Allen, 2011, p. 231",1,,,,1
kank1243,Kankanaey,Austronesian,GB409_17,"Allen, 2011, p. 231",0,,,,0
kank1243,Kankanaey,Austronesian,GB409_18,"Allen, 2011, p. 265",1,,,,1
kank1243,Kankanaey,Austronesian,GB409_19,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kank1243,Kankanaey,Austronesian,GB409_20,"Allen, 2011, p. 265",1,,,,1
kank1243,Kankanaey,Austronesian,GB409_21,,1,,,No source reference provided. Recommend citing the grammar for this feature.,1
kank1243,Kankanaey,Austronesian,GB409_22,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kank1243,Kankanaey,Austronesian,GB409_23,"Allen, 2011, p. 9",1,,,,1
kank1243,Kankanaey,Austronesian,GB409_24,"Allen, 2011, p. 112",0,,,,0
