Glottocode,Language,Family,Ergon_ID,Source_comment,Value,Comment,curated,curated_comment,final_value
kari1311,Karitiana,Tupian,GB409_1,"Everett, 2006, p. 449",1,"""These consist of an absolutive agreement marker suffixed with the reflexive marker -/ʔasoːta""",,,1
kari1311,Karitiana,Tupian,GB409_2,"Everett, 2006, p. 434",1,erg es unmarked pero lo ponen dentro de 1sg,,,1
kari1311,Karitiana,Tupian,GB409_3,"Everett, 2006, p. 339",0,erg es unmarked,,,0
kari1311,Karitiana,Tupian,GB409_4,"Everett, 2006, p. 339",0,erg es unmarked,,,0
kari1311,Karitiana,Tupian,GB409_5,"Everett, 2006, p. 339",0,erg es unmarked,,,0
kari1311,Karitiana,Tupian,GB409_6,"Everett, 2006, p. 434",1,erg es unmarked pero lo ponen dentro de 1sg,,,1
kari1311,Karitiana,Tupian,GB409_7,"Everett, 2006, p. 339",0,erg es unmarked,,,0
kari1311,Karitiana,Tupian,GB409_8,"Everett, 2006, p. 434",1,erg es unmarked pero lo ponen dentro de 1sg,,,1
kari1311,Karitiana,Tupian,GB409_9,"Everett, 2006, p. 339",0,erg es unmarked,,,0
kari1311,Karitiana,Tupian,GB409_10,"Everett, 2006, p. 434",1,erg es unmarked pero lo ponen dentro de 1sg,,,1
kari1311,Karitiana,Tupian,GB409_11,"Everett, 2006, p. 339",0,erg es unmarked,,,0
kari1311,Karitiana,Tupian,GB409_12,"Everett, 2006, p. 434",1,erg es unmarked pero lo ponen dentro de 1sg,,,1
kari1311,Karitiana,Tupian,GB409_13,"Everett, 2006, p. 339",0,erg es unmarked,,,0
kari1311,Karitiana,Tupian,GB409_14,"Everett, 2006, p. 434",1,erg es unmarked pero lo ponen dentro de 1sg,,,1
kari1311,Karitiana,Tupian,GB409_15,"Everett, 2006, p. 339",0,erg es unmarked,,,0
kari1311,Karitiana,Tupian,GB409_16,"Everett, 2006, p. 434",1,erg es unmarked pero lo ponen dentro de 1sg,,,1
kari1311,Karitiana,Tupian,GB409_17,"Everett, 2006, p. 339",0,erg es unmarked,,,0
kari1311,Karitiana,Tupian,GB409_18,"Everett, 2006, p. 339",0,erg es unmarked,,,0
kari1311,Karitiana,Tupian,GB409_19,"Everett, 2006, p. 339",0,erg es unmarked,,,0
kari1311,Karitiana,Tupian,GB409_20,"Everett, 2006, p. 339",0,erg es unmarked,,,0
kari1311,Karitiana,Tupian,GB409_21,"Everett, 2006, p. 339",0,erg es unmarked,,,0
kari1311,Karitiana,Tupian,GB409_22,"Everett, 2006, p. 339",0,erg es unmarked,,,0
kari1311,Karitiana,Tupian,GB409_23,"Everett, 2006, p. 339",0,erg es unmarked,,,0
kari1311,Karitiana,Tupian,GB409_24,"Everett, 2006, p. 339",0,erg es unmarked,,,0
