Glottocode,Language,Family,Ergon_ID,Source_comment,Value,Comment,curated,curated_comment,final_value
katu1276,Katu,Austroasiatic,GB409_1,"Dos anjos, 2011, p. 379",0,,,,0
katu1276,Katu,Austroasiatic,GB409_2,"Dos anjos, 2011, p. 374",0,,,,0
katu1276,Katu,Austroasiatic,GB409_3,"Dos anjos, 2011, p. 368",0,,,,0
katu1276,Katu,Austroasiatic,GB409_4,"Dos anjos, 2011, p. 421",1,,,,1
katu1276,Katu,Austroasiatic,GB409_5,"Dos anjos, 2011, p. 421",1,,,,1
katu1276,Katu,Austroasiatic,GB409_6,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
katu1276,Katu,Austroasiatic,GB409_7,"Dos anjos, 2011, p. 421",1,,,,1
katu1276,Katu,Austroasiatic,GB409_8,"Dos anjos, 2011, p. 421",1,,,,1
katu1276,Katu,Austroasiatic,GB409_9,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
katu1276,Katu,Austroasiatic,GB409_10,"Dos anjos, 2011, p. 421",1,,,,1
katu1276,Katu,Austroasiatic,GB409_11,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
katu1276,Katu,Austroasiatic,GB409_12,"Dos anjos, 2011, p. 421",1,,,,1
katu1276,Katu,Austroasiatic,GB409_13,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
katu1276,Katu,Austroasiatic,GB409_14,"Dos anjos, 2011, p. 421",1,,,,1
katu1276,Katu,Austroasiatic,GB409_15,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
katu1276,Katu,Austroasiatic,GB409_16,"Dos anjos, 2011, p. 421",1,,,,1
katu1276,Katu,Austroasiatic,GB409_17,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
katu1276,Katu,Austroasiatic,GB409_18,"Dos anjos, 2011, p. 421",1,,,,1
katu1276,Katu,Austroasiatic,GB409_19,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
katu1276,Katu,Austroasiatic,GB409_20,"Dos anjos, 2011, p. 421",1,,,,1
katu1276,Katu,Austroasiatic,GB409_21,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
katu1276,Katu,Austroasiatic,GB409_22,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
katu1276,Katu,Austroasiatic,GB409_23,"Dos anjos, 2011, p. 363",0,,,,0
katu1276,Katu,Austroasiatic,GB409_24,"Dos anjos, 2011, p. 324",0,,,,0
