Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
ango1257,U'wa,Chibchan,GB409_1,Is there an overt marker for the absolutive?,0,Casilimas Rojas 1995: 141-142,There is no explicit marker for the absolutive case.,
ango1257,U'wa,Chibchan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Casilimas Rojas 1995: 141-142, 187",First-person pronouns show ergative alignment.,
ango1257,U'wa,Chibchan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Casilimas Rojas 1995: 143,Second-person pronouns show ergative alignment.,
ango1257,U'wa,Chibchan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Casilimas Rojas 1995: 142,Third-person pronouns show ergative alignment.,
ango1257,U'wa,Chibchan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Casilimas Rojas 1995: 187, 189",Full NP's exhibit ergative alignment.,
ango1257,U'wa,Chibchan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Casilimas Rojas 1995: 193, 202",Ergative alignment is present in the imperfective aspect.,
ango1257,U'wa,Chibchan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Casilimas Rojas 1995: 194, 196",Ergative alignment occurs in the perfective aspect. ,
ango1257,U'wa,Chibchan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Casilimas Rojas 1995: 187, 194",Ergative alignment is present in past tense clauses.,
ango1257,U'wa,Chibchan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Casilimas Rojas 1995: 192-193,Ergative alignment is applied in non-past times.,
ango1257,U'wa,Chibchan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Casilimas Rojas 1995: 188, 194",Ergative alignment occurs in sentences in the indicative mood.,
ango1257,U'wa,Chibchan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,0,Casilimas Rojas 1995: 126,Ergative alignment does not occur in non-indicative modes.,
ango1257,U'wa,Chibchan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Casilimas Rojas 1995: 142, 187, 193-194",Ergative alignment occurs in clauses with real status.,
ango1257,U'wa,Chibchan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Casilimas Rojas 1995: 126, 210, 224",Ergative alignment occurs in clauses with irrealis status.,
ango1257,U'wa,Chibchan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Casilimas Rojas 1995: 187, 194, 211",Ergative alignment exists in the context of an agentive A argument.,
ango1257,U'wa,Chibchan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Casilimas Rojas 1995: 143,"Ergative alignment is also present in the context of a non-agentive A, such as the experiencer of a perception verb.",
ango1257,U'wa,Chibchan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,"Casilimas Rojas 1995: 142, 197",Ergative alignment applies to topic arguments A.,
ango1257,U'wa,Chibchan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,"Casilimas Rojas 1995: 153, 210",Ergative alignment occurs when argument A is not the main topic of the sentence.,
ango1257,U'wa,Chibchan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Casilimas Rojas 1995: 143, 186, 210","Ergative alignment occurs in clauses with an animate argument A, whether human or non-human.",
ango1257,U'wa,Chibchan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Casilimas Rojas 1995: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",
ango1257,U'wa,Chibchan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Casilimas Rojas 1995: 141-142,Ergative alignment occurs in main clauses.,
ango1257,U'wa,Chibchan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Casilimas Rojas 1995: 140,"Ergative alignment occurs in non-main clauses, such as relative clauses.",
ango1257,U'wa,Chibchan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,"Casilimas Rojas 1995: 140-142, 186",Ergative alignment is not conditioned by other factors.,
ango1257,U'wa,Chibchan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,"Casilimas Rojas 1995: 87, 110, 138-139, 142",The ergative marker does not have the same form as the genitive marker.,
ango1257,U'wa,Chibchan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,"Casilimas Rojas 1995: 142, 146, 152",The ergative case does not have the same marker as the instrumental or comitative marker.,
