Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
auye1238,Auye,Trans-New Guinea,GB409_1,Is there an overt marker for the absolutive?,0,"Moxness 2011: 5, 27, 35",There is no explicit marker for the absolutive case.,
auye1238,Auye,Trans-New Guinea,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,"Moxness 2011: 6, 27, 30",First-person pronouns do not show ergative alignment.,
auye1238,Auye,Trans-New Guinea,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Moxness 2011: 10, 27, 30",Second-person pronouns show ergative alignment.,
auye1238,Auye,Trans-New Guinea,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Moxness 2011: 5, 27",Third-person pronouns show ergative alignment.,
auye1238,Auye,Trans-New Guinea,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Moxness 2011: 30, 35",Full NP's exhibit ergative alignment.,
auye1238,Auye,Trans-New Guinea,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Moxness 2011: 27, 29-30",Ergative alignment present in the imperfective aspect.,
auye1238,Auye,Trans-New Guinea,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Moxness 2011: 33-35,Ergative alignment occurs in the perfective aspect. ,
auye1238,Auye,Trans-New Guinea,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Moxness 2011: 24, 34-35",Ergative alignment occurs in past tense clauses.,
auye1238,Auye,Trans-New Guinea,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Moxness 2011: 26, 29",Ergative alignment applied in non-past times.,
auye1238,Auye,Trans-New Guinea,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Moxness 2011: 29, 35, 39",Ergative alignment is presented in indicative mode.,
auye1238,Auye,Trans-New Guinea,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,Moxness 2011: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",
auye1238,Auye,Trans-New Guinea,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Moxness 2011: 29, 35",Ergative alignment is present in the realis status.,
auye1238,Auye,Trans-New Guinea,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Moxness 2011: 38,Ergative alignment is present in the irrealis status.,
auye1238,Auye,Trans-New Guinea,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Moxness 2011: 26, 29, 35","In transitive clauses where the subject (A) is an agent, the ergative marker is present.",
auye1238,Auye,Trans-New Guinea,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,Moxness 2011: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",
auye1238,Auye,Trans-New Guinea,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,"Moxness 2011: 26, 33",Ergative alignment occurs with topical A arguments.,
auye1238,Auye,Trans-New Guinea,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,"Moxness 2011: 29, 35",Ergative alignment occurs with non-topical A arguments.,
auye1238,Auye,Trans-New Guinea,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Moxness 2011: 5, 29, 35",The ergative case marker is present for animate arguments A.,
auye1238,Auye,Trans-New Guinea,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,"Moxness 2011: 27, 33, 36, 39",The ergative case marker is present for inanimate arguments A.,
auye1238,Auye,Trans-New Guinea,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Moxness 2011: 5, 35",Ergative alignment is present in the main clauses.,
auye1238,Auye,Trans-New Guinea,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,"Moxness 2011: 7, 36-38",Ergative alignment is present in the non-main clauses.,
auye1238,Auye,Trans-New Guinea,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,"Moxness 2011: 5, 47",There are no other factors that influence the appearance of ergative alignment.,
auye1238,Auye,Trans-New Guinea,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,"Moxness 2011: 5, 26, 40","Both the ergative agent (in 2nd/3rd person and NP's) and the genitive are marked with the particle ""me"".",
auye1238,Auye,Trans-New Guinea,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,"Moxness 2011: 33, 35, 40","The ergative case has the same mark as the instrumental case, but is different from the comitative case.",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
