Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
ayiw1239,Äiwoo,Austronesian,GB409_1,Is there an overt marker for the absolutive?,0,Næss 2015: 82,The absolute case does not have an explicit marker and exhibits a tripartite alignment.,
ayiw1239,Äiwoo,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,?,Dunn et al. 2002: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",
ayiw1239,Äiwoo,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,?,Dunn et al. 2002: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",
ayiw1239,Äiwoo,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,?,Dunn et al. 2002: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",
ayiw1239,Äiwoo,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Dunn et al. 2002: 35, 52",Full NP's exhibit ergative alignment.,
ayiw1239,Äiwoo,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,Dunn et al. 2002: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",
ayiw1239,Äiwoo,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Dunn et al. 2002: 52,Ergative alignment occurs in the perfective aspect. ,
ayiw1239,Äiwoo,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Dunn et al. 2002: 52,Ergative alignment occurs in past tense clauses.,
ayiw1239,Äiwoo,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,?,Dunn et al. 2002: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",
ayiw1239,Äiwoo,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Dunn et al. 2002: 52,Ergative alignment occur in sentences in the indicative mood.,
ayiw1239,Äiwoo,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,Dunn et al. 2002: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",
ayiw1239,Äiwoo,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Dunn et al. 2002: 52,Ergative alignment occurs in clauses with real status.,
ayiw1239,Äiwoo,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,Dunn et al. 2002: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",
ayiw1239,Äiwoo,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Dunn et al. 2002: 35, 52",There is ergative alignment in clauses with an agentive A argument.,
ayiw1239,Äiwoo,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Dunn et al. 2002: 52,There is ergative alignment in clauses with a non-agentive argument A.,
ayiw1239,Äiwoo,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,"Dunn et al. 2002: 35, 52",Ergative alignment apply to arguments in topic A.,
ayiw1239,Äiwoo,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,"Dunn et al. 2002: 35, 52",Ergative alignment occurs when argument A is not the main topic of the sentence.,
ayiw1239,Äiwoo,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Dunn et al. 2002: 35, 52",Ergative alignment occurs in clauses with an animate argument A.,
ayiw1239,Äiwoo,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Dunn et al. 2002: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",
ayiw1239,Äiwoo,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Dunn et al. 2002: 35, 52",Ergative alignment maintained in main clauses.,
