Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
bugi1244,Bugis,Austronesian,GB409_1,Is there an overt marker for the absolutive?,1,Hanson 2003: 59,There is an explicit marker for the absolutive case.,
bugi1244,Bugis,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Hanson 2003: 59-60,First-person pronouns follow an ergative alignment pattern.,
bugi1244,Bugis,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Hanson 2003: 59-60,Second-person pronouns follow an ergative alignment pattern.,
bugi1244,Bugis,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Hanson 2003: 59-60,Third-person pronouns follow an ergative alignment pattern.,
bugi1244,Bugis,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,0,"Hanson 2003: 126, 153",Full NP's do not exhibit ergative alignment.,
bugi1244,Bugis,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Hanson 2003: 82,Clauses with imperfective aspect exhibit ergative alignment.,
bugi1244,Bugis,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Hanson 2003: 67, 82",Clauses with perfective aspect exhibit ergative alignment.,
bugi1244,Bugis,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Hanson 2003: 45, 92",Past-tense clauses exhibit ergative alignment.,
bugi1244,Bugis,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Hanson 2003: 42, 92",Clauses in non-past tense exhibit ergative alignment.,
bugi1244,Bugis,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Hanson 2003: 128-129,Clauses in indicative mode show an ergative alignment.,
bugi1244,Bugis,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Hanson 2003: 283, 301",Clauses in non-indicative mode show an ergative alignment.,
bugi1244,Bugis,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Hanson 2003: 128-129, 145, 167",Clauses with realis status show ergative alignment.,
bugi1244,Bugis,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Hanson 2003: 167, 173, 264",Clauses with irrealis status show ergative alignment.,
bugi1244,Bugis,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Hanson 2003: 128, 140","In the context of an agentive A argument, ergative alignment is observed.",
bugi1244,Bugis,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Hanson 2003: 140-141,"In the context of a non-agentive argument A, ergative alignment is observed.",
bugi1244,Bugis,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,"Hanson 2003: 155, 165","In the context of a topical A, ergative alignment is shown.",
bugi1244,Bugis,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,0,"Hanson 2003: 138, 169","In the context of a topical A, ergative alignment is not shown.",
bugi1244,Bugis,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Hanson 2003: 140,Clauses with animated A arguments exhibit ergative alignment.,
bugi1244,Bugis,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Hanson 2003: 141-142,Clauses with non-animated A arguments exhibit ergative alignment.,
bugi1244,Bugis,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Hanson 2003: 128-129,Main clauses exhibit ergative alignment.,
bugi1244,Bugis,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,"Hanson 2003: 224, 275",Non-main clauses exhibit ergative alignment.,
bugi1244,Bugis,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,"Hanson 2003: 125, 128",Ergative alignment is conditioned by a pragmatic factor: the definiteness or individuation of the patient.,
bugi1244,Bugis,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Hanson 2003: 60,The ergative case do not have the same mark as the genitive marker.,
bugi1244,Bugis,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,"Hanson 2003: 262, 315",The ergative case does not have the same marker as the instrumental or comitative marker.,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
