Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
coch1272,Cochimí,Cochimí-Yuman,GB409_1,Is there an overt marker for the absolutive?,1,Mixco 1978:30,,
coch1272,Cochimí,Cochimí-Yuman,GB409_2,Is there ergative alignment of flagging on first person pronouns?,?,Mixco 1978:in passim,There are no examples in the source in order to corroborate this feature.,
coch1272,Cochimí,Cochimí-Yuman,GB409_3,Is there ergative alignment of flagging on second person pronouns?,?,Mixco 1978:in passim,There are no examples in the source in order to corroborate this feature.,
coch1272,Cochimí,Cochimí-Yuman,GB409_4,Is there ergative alignment of flagging on third person pronouns?,?,Mixco 1978:in passim,There are no examples in the source in order to corroborate this feature.,
coch1272,Cochimí,Cochimí-Yuman,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Mixco 1978:25,See example (30),
coch1272,Cochimí,Cochimí-Yuman,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,Mixco 1978:in passim,There are no examples in the source in order to corroborate this feature.,
coch1272,Cochimí,Cochimí-Yuman,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Mixco 1978:47,See example (2),
coch1272,Cochimí,Cochimí-Yuman,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Mixco 1978:40,See example (126),
coch1272,Cochimí,Cochimí-Yuman,GB409_9,Is there ergative alignment of flagging in non-past tenses?,?,Mixco 1978:in passim,There are no examples in the source in order to corroborate this feature.,
coch1272,Cochimí,Cochimí-Yuman,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Mixco 1978:22,See example (7),
coch1272,Cochimí,Cochimí-Yuman,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Mixco 1978:22,41","See example (8), (129)",
coch1272,Cochimí,Cochimí-Yuman,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Mixco 1978:22,See example (7),
coch1272,Cochimí,Cochimí-Yuman,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Mixco 1978:25,See example (30),
coch1272,Cochimí,Cochimí-Yuman,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Mixco 1978:31,See example (71),
coch1272,Cochimí,Cochimí-Yuman,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Mixco 1978:31,See example (72),
coch1272,Cochimí,Cochimí-Yuman,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Mixco 1978:in passim,There is no mention nor evidence of a split based on topicality.,
coch1272,Cochimí,Cochimí-Yuman,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Mixco 1978:in passim,There is no mention nor evidence of a split based on topicality.,
coch1272,Cochimí,Cochimí-Yuman,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,?,Mixco 1978:in passim,There is no mention nor evidence of a split based on animacity.,
coch1272,Cochimí,Cochimí-Yuman,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Mixco 1978:in passim,There is no mention nor evidence of a split based on animacity.,
coch1272,Cochimí,Cochimí-Yuman,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Mixco 1978:22,See example (7),
coch1272,Cochimí,Cochimí-Yuman,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,Mixco 1978:in passim,There are no examples in the source in order to corroborate this feature.,
coch1272,Cochimí,Cochimí-Yuman,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,Mixco 1978:30,"The S and P have different marks that change the alignment, but the contexts of use are not described.",
coch1272,Cochimí,Cochimí-Yuman,GB409_23,Are the ergative and the genitive expressed by the same marker?,?,Mixco 1978:in passim,There are no examples in the source in order to corroborate this feature.,
coch1272,Cochimí,Cochimí-Yuman,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,?,Mixco 1978:in passim,There are no examples in the source in order to corroborate this feature.,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
