Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
dech1234,VERIFICAR (ficha dice dadi1250 Dadibi),VERIFICAR,GB409_1,Is there an overt marker for the absolutive?,0,Yu 2007:177-178,,
dech1234,VERIFICAR (ficha dice dadi1250 Dadibi),VERIFICAR,GB409_2,Is there ergative alignment of flagging on first person pronouns?,?,Yu 2007:in passim,There are no examples in the source in order to corroborate this feature.,
dech1234,VERIFICAR (ficha dice dadi1250 Dadibi),VERIFICAR,GB409_3,Is there ergative alignment of flagging on second person pronouns?,?,Yu 2007:in passim,There are no examples in the source in order to corroborate this feature.,
dech1234,VERIFICAR (ficha dice dadi1250 Dadibi),VERIFICAR,GB409_4,Is there ergative alignment of flagging on third person pronouns?,?,Yu 2007:in passim,There are no examples in the source in order to corroborate this feature.,
dech1234,VERIFICAR (ficha dice dadi1250 Dadibi),VERIFICAR,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Yu 2007:178,See example (312),
dech1234,VERIFICAR (ficha dice dadi1250 Dadibi),VERIFICAR,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Yu 2007:178,See example (312),
dech1234,VERIFICAR (ficha dice dadi1250 Dadibi),VERIFICAR,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Yu 2007:209,See example (158a),
dech1234,VERIFICAR (ficha dice dadi1250 Dadibi),VERIFICAR,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Yu 2007:209,See example (158a),
dech1234,VERIFICAR (ficha dice dadi1250 Dadibi),VERIFICAR,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Yu 2007:184,See example (2),
dech1234,VERIFICAR (ficha dice dadi1250 Dadibi),VERIFICAR,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Yu 2007:178,See example (312),
dech1234,VERIFICAR (ficha dice dadi1250 Dadibi),VERIFICAR,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Yu 2007:212,See example (174a-b),
dech1234,VERIFICAR (ficha dice dadi1250 Dadibi),VERIFICAR,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Yu 2007:178,See example (312),
dech1234,VERIFICAR (ficha dice dadi1250 Dadibi),VERIFICAR,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Yu 2007:212,See example (174a-b),
dech1234,VERIFICAR (ficha dice dadi1250 Dadibi),VERIFICAR,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Yu 2007:178, 222","See example (312), (228)",
dech1234,VERIFICAR (ficha dice dadi1250 Dadibi),VERIFICAR,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,Yu 2007:in passim,There are no examples in the source in order to corroborate this feature.,
dech1234,VERIFICAR (ficha dice dadi1250 Dadibi),VERIFICAR,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Yu 2007:82 ,See example (3a-b). There is no mention nor evidence of a split based on topicality.,
dech1234,VERIFICAR (ficha dice dadi1250 Dadibi),VERIFICAR,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Yu 2007:82 ,See example (3a-b). There is no mention nor evidence of a split based on topicality.,
dech1234,VERIFICAR (ficha dice dadi1250 Dadibi),VERIFICAR,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Yu 2007:82 ,See example (3a-b). ,
dech1234,VERIFICAR (ficha dice dadi1250 Dadibi),VERIFICAR,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,0,Yu 2007:82,,
dech1234,VERIFICAR (ficha dice dadi1250 Dadibi),VERIFICAR,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Yu 2007:178,See example (312),
dech1234,VERIFICAR (ficha dice dadi1250 Dadibi),VERIFICAR,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,Yu 2007:in passim,There are no information in the source in order to corroborate this feature.,
dech1234,VERIFICAR (ficha dice dadi1250 Dadibi),VERIFICAR,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,"Yu 2007:82,83; 178",the language follows an active-stative pattern,
dech1234,VERIFICAR (ficha dice dadi1250 Dadibi),VERIFICAR,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Yu 2007:87,,
dech1234,VERIFICAR (ficha dice dadi1250 Dadibi),VERIFICAR,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,?,Yu 2007:in passim,There are no examples in the source in order to corroborate this feature.,
