Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,,
east2379,Mparntwe Arrernte,Arandic,GB409_1,Is there an overt marker for the absolutive?,,,,,wilkins 121
east2379,Mparntwe Arrernte,Arandic,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Wilkins 1989:124-125,only first person singular pronouns,,
east2379,Mparntwe Arrernte,Arandic,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,Wilkins 1989:124-126,,,
east2379,Mparntwe Arrernte,Arandic,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,Wilkins 1989:124-127,,,
east2379,Mparntwe Arrernte,Arandic,GB409_5,Is there ergative alignment of flagging on full NPs?,,Wilkins 1989:,,,
east2379,Mparntwe Arrernte,Arandic,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,,Wilkins 1989:,,,
east2379,Mparntwe Arrernte,Arandic,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,,Wilkins 1989:,,,
east2379,Mparntwe Arrernte,Arandic,GB409_8,Is there ergative alignment of flagging in the past tense?,,Wilkins 1989:,,,
east2379,Mparntwe Arrernte,Arandic,GB409_9,Is there ergative alignment of flagging in non-past tenses?,,Wilkins 1989:,,,
east2379,Mparntwe Arrernte,Arandic,GB409_10,Is there ergative alignment of flagging in the indicative mood?,,Wilkins 1989:,,,
east2379,Mparntwe Arrernte,Arandic,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,,Wilkins 1989:,,,
east2379,Mparntwe Arrernte,Arandic,GB409_12,Is there ergative alignment of flagging in the realis status?,,Wilkins 1989:,,,
east2379,Mparntwe Arrernte,Arandic,GB409_13,Is there ergative alignment of flagging in the irrealis status?,,Wilkins 1989:,,,
east2379,Mparntwe Arrernte,Arandic,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,,Wilkins 1989:,,,
east2379,Mparntwe Arrernte,Arandic,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,,Wilkins 1989:,,,
east2379,Mparntwe Arrernte,Arandic,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,,Wilkins 1989:,,,
east2379,Mparntwe Arrernte,Arandic,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,,Wilkins 1989:,,,
east2379,Mparntwe Arrernte,Arandic,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,,Wilkins 1989:,,,
east2379,Mparntwe Arrernte,Arandic,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,,Wilkins 1989:,,,
east2379,Mparntwe Arrernte,Arandic,GB409_20,Is there ergative alignment of flagging in main clauses?,,Wilkins 1989:,,,
east2379,Mparntwe Arrernte,Arandic,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,Wilkins 1989:,,,
east2379,Mparntwe Arrernte,Arandic,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,,Wilkins 1989:,,,
east2379,Mparntwe Arrernte,Arandic,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Wilkins 1989:154,see Table 4.1,,
east2379,Mparntwe Arrernte,Arandic,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,?,Wilkins 1989:,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
