Glottocode,Language,Family,Ergon_ID,Feature,Source_comment,Value,Comment
fran1266,Zoque,Mixe-Zoque,GB409_1,Is there an overt marker for the absolutive?,"Engel & Bartholomew, 1987, p. 401",0,
fran1266,Zoque,Mixe-Zoque,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Engel & Bartholomew, 1987, p. 381",0,
fran1266,Zoque,Mixe-Zoque,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Engel & Bartholomew, 1987, p. 383",0,
fran1266,Zoque,Mixe-Zoque,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Engel & Bartholomew, 1987, p. 373",1,
fran1266,Zoque,Mixe-Zoque,GB409_5,Is there ergative alignment of flagging on full NPs?,"Engel & Bartholomew, 1987, p. 407",1,
fran1266,Zoque,Mixe-Zoque,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,,?,
fran1266,Zoque,Mixe-Zoque,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Engel & Bartholomew, 1987, p. 373",1,
fran1266,Zoque,Mixe-Zoque,GB409_8,Is there ergative alignment of flagging in the past tense?,"Engel & Bartholomew, 1987, p. 373",1,
fran1266,Zoque,Mixe-Zoque,GB409_9,Is there ergative alignment of flagging in non-past tenses?,,?,
fran1266,Zoque,Mixe-Zoque,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Engel & Bartholomew, 1987, p. 373",1,
fran1266,Zoque,Mixe-Zoque,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,,?,
fran1266,Zoque,Mixe-Zoque,GB409_12,Is there ergative alignment of flagging in the realis status?,"Engel & Bartholomew, 1987, p. 373",1,
fran1266,Zoque,Mixe-Zoque,GB409_13,Is there ergative alignment of flagging in the irrealis status?,,?,
fran1266,Zoque,Mixe-Zoque,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Engel & Bartholomew, 1987, p. 373",1,
fran1266,Zoque,Mixe-Zoque,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,,?,
fran1266,Zoque,Mixe-Zoque,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Engel & Bartholomew, 1987, p. 373",1,
fran1266,Zoque,Mixe-Zoque,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,,?,
fran1266,Zoque,Mixe-Zoque,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Engel & Bartholomew, 1987, p. 373",1,
fran1266,Zoque,Mixe-Zoque,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,"Engel & Bartholomew, 1987, p. 344",1,
fran1266,Zoque,Mixe-Zoque,GB409_20,Is there ergative alignment of flagging in main clauses?,"Engel & Bartholomew, 1987, p. 373",1,
fran1266,Zoque,Mixe-Zoque,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,?,
fran1266,Zoque,Mixe-Zoque,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,,?,
fran1266,Zoque,Mixe-Zoque,GB409_23,Are the ergative and the genitive expressed by the same marker?,,?,
fran1266,Zoque,Mixe-Zoque,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,,?,
