Glottocode,Language,Family,Ergon_ID,Feature,Comment,Source_comment,Value
gana1278,Ganai,Pama-Nyungan,GB409_1,Is there an overt marker for the absolutive?,,"Fesl, 1985, p. 112",0
gana1278,Ganai,Pama-Nyungan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,,,?
gana1278,Ganai,Pama-Nyungan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,,,?
gana1278,Ganai,Pama-Nyungan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,,"Fesl, 1985, p. INDEX II: 6",1
gana1278,Ganai,Pama-Nyungan,GB409_5,Is there ergative alignment of flagging on full NPs?,,"Fesl, 1985, p. INDEX II: 6",1
gana1278,Ganai,Pama-Nyungan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,,"Fesl, 1985, p. INDEX II: 6",1
gana1278,Ganai,Pama-Nyungan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,,"Fesl, 1985, p. INDEX II: 6",1
gana1278,Ganai,Pama-Nyungan,GB409_8,Is there ergative alignment of flagging in the past tense?,,"Fesl, 1985, p. INDEX II: 6",1
gana1278,Ganai,Pama-Nyungan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,,,?
gana1278,Ganai,Pama-Nyungan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,,"Fesl, 1985, p. INDEX II: 6",1
gana1278,Ganai,Pama-Nyungan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,,,?
gana1278,Ganai,Pama-Nyungan,GB409_12,Is there ergative alignment of flagging in the realis status?,,"Fesl, 1985, p. INDEX II: 6",1
gana1278,Ganai,Pama-Nyungan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,,,?
gana1278,Ganai,Pama-Nyungan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,,"Fesl, 1985, p. INDEX II: 6",1
gana1278,Ganai,Pama-Nyungan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,,,?
gana1278,Ganai,Pama-Nyungan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,,"Fesl, 1985, p. INDEX II: 6",1
gana1278,Ganai,Pama-Nyungan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,,,?
gana1278,Ganai,Pama-Nyungan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,,"Fesl, 1985, p. INDEX II: 2",1
gana1278,Ganai,Pama-Nyungan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,,"Fesl, 1985, p. INDEX II: 6",1
gana1278,Ganai,Pama-Nyungan,GB409_20,Is there ergative alignment of flagging in main clauses?,,"Fesl, 1985, p. INDEX II: 6",1
gana1278,Ganai,Pama-Nyungan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,,?
gana1278,Ganai,Pama-Nyungan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,,,?
gana1278,Ganai,Pama-Nyungan,GB409_23,Are the ergative and the genitive expressed by the same marker?,,"Fesl, 1985, p. INDEX II: 16",0
gana1278,Ganai,Pama-Nyungan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,,"Fesl, 1985, p. 117",?
