Glottocode,Language,Family,Ergon_ID,Feature,Source_comment,Value,Comment
guny1241,Gunya,Pama-Nyungan,GB409_1,Is there an overt marker for the absolutive?,"Breen, 1981, p. 301",1,"""A possible absolutive suffix -na has been heard on wandu 'who' in both dialects. It is optional""."
guny1241,Gunya,Pama-Nyungan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Breen, 1981, p. 342",1,
guny1241,Gunya,Pama-Nyungan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Breen, 1981, p. 318",1,
guny1241,Gunya,Pama-Nyungan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Breen, 1981, p. 344",1,
guny1241,Gunya,Pama-Nyungan,GB409_5,Is there ergative alignment of flagging on full NPs?,"Breen, 1981, p. 301",1,
guny1241,Gunya,Pama-Nyungan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,,?,
guny1241,Gunya,Pama-Nyungan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Breen, 1981, p. 342",1,
guny1241,Gunya,Pama-Nyungan,GB409_8,Is there ergative alignment of flagging in the past tense?,"Breen, 1981, p. 335",1,
guny1241,Gunya,Pama-Nyungan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,,?,
guny1241,Gunya,Pama-Nyungan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Breen, 1981, p. 342",1,
guny1241,Gunya,Pama-Nyungan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,,,
guny1241,Gunya,Pama-Nyungan,GB409_12,Is there ergative alignment of flagging in the realis status?,"Breen, 1981, p. 342",1,
guny1241,Gunya,Pama-Nyungan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,,?,
guny1241,Gunya,Pama-Nyungan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,,?,
guny1241,Gunya,Pama-Nyungan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,"Breen, 1981, p. 342",1,
guny1241,Gunya,Pama-Nyungan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,,?,
guny1241,Gunya,Pama-Nyungan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,"Breen, 1981, p. 342",1,
guny1241,Gunya,Pama-Nyungan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Breen, 1981, p. 342",1,
guny1241,Gunya,Pama-Nyungan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,,?,
guny1241,Gunya,Pama-Nyungan,GB409_20,Is there ergative alignment of flagging in main clauses?,"Breen, 1981, p. 342",1,
guny1241,Gunya,Pama-Nyungan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,?,
guny1241,Gunya,Pama-Nyungan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,"Breen, 1981, p. 307",0,
guny1241,Gunya,Pama-Nyungan,GB409_23,Are the ergative and the genitive expressed by the same marker?,"Breen, 1981, p. 388",0,
guny1241,Gunya,Pama-Nyungan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Breen, 1981, p. 345",1,
