Glottocode,Language,Family,Ergon_ID,Feature,Source_comment,Value,Comment
gure1255,Gureng Gureng,Pama-Nyungan,GB409_1,Is there an overt marker for the absolutive?,"Brasch, 1975, p. 15 ",1,
gure1255,Gureng Gureng,Pama-Nyungan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Brasch, 1975, p. 14 ",1,de los pronombres
gure1255,Gureng Gureng,Pama-Nyungan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Brasch, 1975, p. 14 ",1,de los pronombres
gure1255,Gureng Gureng,Pama-Nyungan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Brasch, 1975, p. 14 ",1,person pronouns
gure1255,Gureng Gureng,Pama-Nyungan,GB409_5,Is there ergative alignment of flagging on full NPs?,"Brasch, 1975, p. 14 ",1,human
gure1255,Gureng Gureng,Pama-Nyungan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,"Brasch, 1975, p. 14 ",1,
gure1255,Gureng Gureng,Pama-Nyungan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Brasch, 1975, p. 16-17",1,
gure1255,Gureng Gureng,Pama-Nyungan,GB409_8,Is there ergative alignment of flagging in the past tense?,"Brasch, 1975, p. 16-17",1,
gure1255,Gureng Gureng,Pama-Nyungan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,"Brasch, 1975, p. 16-17",1,
gure1255,Gureng Gureng,Pama-Nyungan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Brasch, 1975, p. 16-17",1,
gure1255,Gureng Gureng,Pama-Nyungan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,,?,
gure1255,Gureng Gureng,Pama-Nyungan,GB409_12,Is there ergative alignment of flagging in the realis status?,"Brasch, 1975, p. 16-17",1,
gure1255,Gureng Gureng,Pama-Nyungan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,,?,
gure1255,Gureng Gureng,Pama-Nyungan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Brasch, 1975, p. 16-17",1,
gure1255,Gureng Gureng,Pama-Nyungan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,,?,
gure1255,Gureng Gureng,Pama-Nyungan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Brasch, 1975, p. 16-17",1,
gure1255,Gureng Gureng,Pama-Nyungan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,,?,
gure1255,Gureng Gureng,Pama-Nyungan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Brasch, 1975, p. 145 (del pdf)",1,
gure1255,Gureng Gureng,Pama-Nyungan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,,?,
gure1255,Gureng Gureng,Pama-Nyungan,GB409_20,Is there ergative alignment of flagging in main clauses?,"Brasch, 1975, p. 16-17",1,
gure1255,Gureng Gureng,Pama-Nyungan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,?,
gure1255,Gureng Gureng,Pama-Nyungan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,,?,
gure1255,Gureng Gureng,Pama-Nyungan,GB409_23,Are the ergative and the genitive expressed by the same marker?,,?,
gure1255,Gureng Gureng,Pama-Nyungan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,,?,
