Glottocode,Language,Family,Ergon_ID,Feature,Source_comment,Value,Comment
guru1261,Gurung,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,,?,
guru1261,Gurung,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,,?,
guru1261,Gurung,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,,?,
guru1261,Gurung,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Glover, 1974, p. 213",1,
guru1261,Gurung,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,"Glover, 1974, p. 213",1,
guru1261,Gurung,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,,?,
guru1261,Gurung,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,,?,
guru1261,Gurung,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,,?,
guru1261,Gurung,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,,?,
guru1261,Gurung,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Glover, 1974, p. 213",1,
guru1261,Gurung,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,,?,
guru1261,Gurung,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,"Glover, 1974, p. 213",1,
guru1261,Gurung,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,,?,
guru1261,Gurung,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Glover, 1974, p. 213",1,
guru1261,Gurung,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,,?,
guru1261,Gurung,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Glover, 1974, p. 213",1,
guru1261,Gurung,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,,?,
guru1261,Gurung,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Glover, 1974, p. 213",1,
guru1261,Gurung,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,,?,
guru1261,Gurung,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,"Glover, 1974, p. 213",1,
guru1261,Gurung,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,?,
guru1261,Gurung,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,,?,
guru1261,Gurung,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,,?,
guru1261,Gurung,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,,?,
