Glottocode,Language,Family,Ergon_ID,,Source_comment,Value,Comment
huas1242,Huastec,Mayan,GB409_1,Is there an overt marker for the absolutive?,"Kondić, 2012, vol1: p. 132, 253",1,
huas1242,Huastec,Mayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Kondić, 2012, vol1: p. 250, vol2: 125",1,
huas1242,Huastec,Mayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Kondić, 2012, vol1: p. 270, vol2: p. 125",1,
huas1242,Huastec,Mayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Kondić, 2012, vol1: p. 273, vol2: p. 125",1,
huas1242,Huastec,Mayan,GB409_5,Is there ergative alignment of flagging on full NPs?,"Kondić, 2012, vol1: p. 250-273, vol2: p. 125",1,
huas1242,Huastec,Mayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,"Kondić, 2012, vol1: p. 247",1,
huas1242,Huastec,Mayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Kondić, 2012, vol1: p. 253",1,
huas1242,Huastec,Mayan,GB409_8,Is there ergative alignment of flagging in the past tense?,"Kondić, 2012, vol1: p. 246, 250, vol2: p. 14",1,
huas1242,Huastec,Mayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,"Kondić, 2012, vol1: p. 247",1,
huas1242,Huastec,Mayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Kondić, 2012, vol1: p. 250",1,
huas1242,Huastec,Mayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,,?,
huas1242,Huastec,Mayan,GB409_12,Is there ergative alignment of flagging in the realis status?,"Kondić, 2012, vol1: p. 246, 250",1,
huas1242,Huastec,Mayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,"Kondić, 2012, vol1: p. 14, 18",1,
huas1242,Huastec,Mayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Kondić, 2012, vol1: p. 250-273",1,
huas1242,Huastec,Mayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,"Kondić, 2012, vol1: p. 250-273",0,
huas1242,Huastec,Mayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Kondić, 2012, vol1: p. 250-273",1,
huas1242,Huastec,Mayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,"Kondić, 2012, vol1: p. 250-273",0,
huas1242,Huastec,Mayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Kondić, 2012, vol1: p. 250-273",1,
huas1242,Huastec,Mayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,"Kondić, 2012, vol1: p. 250-273",0,
huas1242,Huastec,Mayan,GB409_20,Is there ergative alignment of flagging in main clauses?,"Kondić, 2012, vol1: p. 250-273",1,
huas1242,Huastec,Mayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,"Kondić, 2012, vol1: p. 250-273, vol2: p.14-18",0,
huas1242,Huastec,Mayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,"Kondić, 2012, vol2: p.117",1,"""El HSF tiene un sistema de marcado de personas bastante particular en comparación con otras lenguas mayas: las lenguas del grupo huasteca utilizan tres juegos diferentes de marcas de personas, y no dos como en las otras lenguas mayas. El sistema de marcado de personas en HSF no es un sistema ergativo típico, sino que reúne a un sistema inverso. Las lenguas huastecanas han desarrollado un sistema inverso atípico; estas lenguas son las únicas lenguas mayas que codifican el acuerdo transitivo de las personas de esta manera. Zavala (1993) publicó un extenso estudio de este problema""."
huas1242,Huastec,Mayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,"Kondić, 2012, vol1: p. 264",0,
huas1242,Huastec,Mayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Kondić, 2012, vol1: p. 407",0,
