Glottocode,Language,Family,Ergon_ID,,Source_comment,Value,Comment
iaai1238,Iaai,Austronesian,GB409_1,Is there an overt marker for the absolutive?,"Ozanne-Rivierre, 1976",?,La gramática está en francés
iaai1238,Iaai,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Ozanne-Rivierre, 1976",?,La gramática está en francés
iaai1238,Iaai,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Ozanne-Rivierre, 1976",?,La gramática está en francés
iaai1238,Iaai,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Ozanne-Rivierre, 1976",?,La gramática está en francés
iaai1238,Iaai,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,"Ozanne-Rivierre, 1976",?,La gramática está en francés
iaai1238,Iaai,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,"Ozanne-Rivierre, 1976",?,La gramática está en francés
iaai1238,Iaai,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Ozanne-Rivierre, 1976",?,La gramática está en francés
iaai1238,Iaai,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,"Ozanne-Rivierre, 1976",?,La gramática está en francés
iaai1238,Iaai,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,"Ozanne-Rivierre, 1976",?,La gramática está en francés
iaai1238,Iaai,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Ozanne-Rivierre, 1976",?,La gramática está en francés
iaai1238,Iaai,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,"Ozanne-Rivierre, 1976",?,La gramática está en francés
iaai1238,Iaai,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,"Ozanne-Rivierre, 1976",?,La gramática está en francés
iaai1238,Iaai,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,"Ozanne-Rivierre, 1976",?,La gramática está en francés
iaai1238,Iaai,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Ozanne-Rivierre, 1976",?,La gramática está en francés
iaai1238,Iaai,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,"Ozanne-Rivierre, 1976",?,La gramática está en francés
iaai1238,Iaai,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Ozanne-Rivierre, 1976",?,La gramática está en francés
iaai1238,Iaai,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,"Ozanne-Rivierre, 1976",?,La gramática está en francés
iaai1238,Iaai,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Ozanne-Rivierre, 1976",?,La gramática está en francés
iaai1238,Iaai,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,"Ozanne-Rivierre, 1976",?,La gramática está en francés
iaai1238,Iaai,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,"Ozanne-Rivierre, 1976",?,La gramática está en francés
iaai1238,Iaai,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,"Ozanne-Rivierre, 1976",?,La gramática está en francés
iaai1238,Iaai,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,"Ozanne-Rivierre, 1976",?,La gramática está en francés
iaai1238,Iaai,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,"Ozanne-Rivierre, 1976",?,La gramática está en francés
iaai1238,Iaai,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Ozanne-Rivierre, 1976",?,La gramática está en francés
