Glottocode,Language,Family,Ergon_ID,,Source_comment,Value,Comment
ibal1244,Ibaloi,Austronesian,GB409_1,Is there an overt marker for the absolutive?,"Ruffolo, 2005,",0,
ibal1244,Ibaloi,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Ruffolo, 2005, p. 119",1,
ibal1244,Ibaloi,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Ruffolo, 2005, p. 569",1,
ibal1244,Ibaloi,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Ruffolo, 2005, p. 368",1,
ibal1244,Ibaloi,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,"Ruffolo, 2005, p. 119, 368, 567",1,
ibal1244,Ibaloi,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,,?,
ibal1244,Ibaloi,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Ruffolo, 2005, p. 573",1,
ibal1244,Ibaloi,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,"Ruffolo, 2005, p. 558",1,
ibal1244,Ibaloi,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,,?,
ibal1244,Ibaloi,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Ruffolo, 2005, p. 567",1,
ibal1244,Ibaloi,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,,,
ibal1244,Ibaloi,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,"Ruffolo, 2005, p. 567",1,
ibal1244,Ibaloi,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,"Ruffolo, 2005, p. 568",1,
ibal1244,Ibaloi,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Ruffolo, 2005, p. 368",1,
ibal1244,Ibaloi,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,,?,
ibal1244,Ibaloi,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Ruffolo, 2005, p. 368",1,
ibal1244,Ibaloi,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,,?,
ibal1244,Ibaloi,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Ruffolo, 2005, p. 561",1,
ibal1244,Ibaloi,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,,?,
ibal1244,Ibaloi,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,"Ruffolo, 2005, p. 368",1,
ibal1244,Ibaloi,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,"Ruffolo, 2005, p. 124",1,
ibal1244,Ibaloi,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,,?,
ibal1244,Ibaloi,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,"Ruffolo, 2005, p. 369",1,
ibal1244,Ibaloi,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Ruffolo, 2005, p. 107",0,
