Glottocode,Language,Family,Ergon_ID,,Source_comment,Value,Comment
iban1267,Iban,Austronesian,GB409_1,Is there an overt marker for the absolutive?,"Dita, 2010, p. 6",1,
iban1267,Iban,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Dita, 2010, p. 6",1,
iban1267,Iban,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Dita, 2010, p. 24",1,
iban1267,Iban,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Dita, 2010, p. 25",1,
iban1267,Iban,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,"Dita, 2010, p. 6, 24-25",1,
iban1267,Iban,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,,?,
iban1267,Iban,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Dita, 2010, p. 6",1,
iban1267,Iban,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,"Dita, 2010, p. 54",1,
iban1267,Iban,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,"Dita, 2010, p. 25",1,
iban1267,Iban,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Dita, 2010, p. 6",1,
iban1267,Iban,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,"Dita, 2010, p. 25",1,
iban1267,Iban,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,"Dita, 2010, p. 6",1,
iban1267,Iban,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,"Dita, 2010, p. 25",1,
iban1267,Iban,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Dita, 2010, p. 6",1,
iban1267,Iban,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,"Dita, 2010, p. 6",0,
iban1267,Iban,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Dita, 2010, p. 6",1,
iban1267,Iban,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,"Dita, 2010, p. 6",0,
iban1267,Iban,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Dita, 2010, p. 6",1,
iban1267,Iban,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,,?,
iban1267,Iban,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,"Dita, 2010, p. 25",1,
iban1267,Iban,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,?,
iban1267,Iban,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,,?,
iban1267,Iban,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,"Dita, 2010, p. 29",1,
iban1267,Iban,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Dita, 2010, p. 167",0,
