Glottocode,Language,Family,Ergon_ID,,Source_comment,Value,Comment
isin1239,Isinai,Austronesian,GB409_1,Is there an overt marker for the absolutive?,"Perlawan, 2015, p. 56",1,
isin1239,Isinai,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Perlawan, 2015, p. 54",1,
isin1239,Isinai,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Perlawan, 2015, p. 55",1,
isin1239,Isinai,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Perlawan, 2015, p. 31",1,
isin1239,Isinai,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,"Perlawan, 2015, p. 31-56",1,
isin1239,Isinai,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,"Perlawan, 2015, p. 55",1,
isin1239,Isinai,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Perlawan, 2015, p. 31",1,
isin1239,Isinai,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,"Perlawan, 2015, p. 31",1,
isin1239,Isinai,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,"Perlawan, 2015, p. 25",1,
isin1239,Isinai,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Perlawan, 2015, p. 31",1,
isin1239,Isinai,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,"Perlawan, 2015, p. 35",1,
isin1239,Isinai,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,"Perlawan, 2015, p. 31",1,
isin1239,Isinai,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,"Perlawan, 2015, p. 55",1,
isin1239,Isinai,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Perlawan, 2015, p. 31",1,
isin1239,Isinai,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,"Perlawan, 2015, p. 31",0,
isin1239,Isinai,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Perlawan, 2015, p. 31",1,
isin1239,Isinai,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,"Perlawan, 2015, p. 31",0,
isin1239,Isinai,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Perlawan, 2015, p. 37",1,
isin1239,Isinai,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,"Perlawan, 2015, p. 32",1,
isin1239,Isinai,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,"Perlawan, 2015, p. 37",1,
isin1239,Isinai,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,"Perlawan, 2015",0,
isin1239,Isinai,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,,?,
isin1239,Isinai,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,"Perlawan, 2015, p. 18",0,La marca -di del absolutivo sí coincide con el genitivo
isin1239,Isinai,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Perlawan, 2015, p. 32",0,
