Glottocode,Language,Family,Ergon_ID,,Source_comment,Value,Comment
japh1234,Japhug,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,"Jacques, 2004, p. 337",0,
japh1234,Japhug,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Jacques, 2004",0,
japh1234,Japhug,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Jacques, 2004",0,
japh1234,Japhug,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Jacques, 2004, p. 464",1,
japh1234,Japhug,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,"Jacques, 2004, p. 464",0,
japh1234,Japhug,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,,?,
japh1234,Japhug,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Jacques, 2004, p. 348",1,
japh1234,Japhug,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,,?,
japh1234,Japhug,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,"Jacques, 2004, p. 348",1,En presente
japh1234,Japhug,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Jacques, 2004, p. 348",1,
japh1234,Japhug,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,,?,
japh1234,Japhug,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,"Jacques, 2004, p. 348",1,
japh1234,Japhug,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,,?,
japh1234,Japhug,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,,?,Difícil de determinar porque la gramática está en francés
japh1234,Japhug,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,,?,Difícil de determinar porque la gramática está en francés
japh1234,Japhug,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,,?,Difícil de determinar porque la gramática está en francés
japh1234,Japhug,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,,?,Difícil de determinar porque la gramática está en francés
japh1234,Japhug,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Jacques, 2004, p. 464",1,
japh1234,Japhug,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,"Jacques, 2004, p. 348",1,
japh1234,Japhug,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,,1,
japh1234,Japhug,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,"Jacques, 2004, p. 348",?,
japh1234,Japhug,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,,?,
japh1234,Japhug,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,"Jacques, 2004, p. 337",0,
japh1234,Japhug,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Jacques, 2004, p. 337",1,
