Glottocode,Language,Family,Ergon_ID,,Source_comment,Value,Comment
jeru1240,Jero,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,"Opgenort, 2005, 87",0,
jeru1240,Jero,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Opgenort, 2005, 88",1,
jeru1240,Jero,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Opgenort, 2005, 210",1,
jeru1240,Jero,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Opgenort, 2005, 187",1,
jeru1240,Jero,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,"Opgenort, 2005, 210",1,
jeru1240,Jero,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,"Opgenort, 2005, 210",1,
jeru1240,Jero,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Opgenort, 2005, 198",1,
jeru1240,Jero,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,"Opgenort, 2005, 198",1,
jeru1240,Jero,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,"Opgenort, 2005, 210",1,
jeru1240,Jero,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Opgenort, 2005, 187",1,
jeru1240,Jero,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,"Opgenort, 2005, 210",1,
jeru1240,Jero,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,"Opgenort, 2005, 187",1,
jeru1240,Jero,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,"Opgenort, 2005, 210",1,
jeru1240,Jero,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Opgenort, 2005, 210",1,
jeru1240,Jero,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,,?,
jeru1240,Jero,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Opgenort, 2005, 210",1,
jeru1240,Jero,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,,?,
jeru1240,Jero,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Opgenort, 2005, 210",1,
jeru1240,Jero,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,"Opgenort, 2005, 192",1,
jeru1240,Jero,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,"Opgenort, 2005, 210",1,
jeru1240,Jero,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,?,
jeru1240,Jero,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,"Opgenort, 2005, 87",1,"La marcación es opcional, puede usarse para enfatizar."
jeru1240,Jero,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,"Opgenort, 2005, 293",0,
jeru1240,Jero,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Opgenort, 2005, 88",0,"""The source marker [(la marca de ergativo)] is often used in relation to instrumental and agent arguments""."
