Glottocode,Language,Family,Ergon_ID,,Source_comment,Value,Comment
kaga1256,Kagayanen,Austronesian,GB409_1,Is there an overt marker for the absolutive?,"Pebley y Macgregor, 2024, p. 487",1,erg:din / abs: kanen
kaga1256,Kagayanen,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Pebley y Macgregor, 2024, p. 659",1,
kaga1256,Kagayanen,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Pebley y Macgregor, 2024, p. 669",1,
kaga1256,Kagayanen,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Pebley y Macgregor, 2024, p. 487",1,
kaga1256,Kagayanen,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,"Pebley y Macgregor, 2024",1,
kaga1256,Kagayanen,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,"Pebley y Macgregor, 2024, p. 525",1,
kaga1256,Kagayanen,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Pebley y Macgregor, 2024, p. 487",1,
kaga1256,Kagayanen,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,"Pebley y Macgregor, 2024, p. 659",1,
kaga1256,Kagayanen,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,"Pebley y Macgregor, 2024, p. 525",1,
kaga1256,Kagayanen,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Pebley y Macgregor, 2024, p. 487",1,
kaga1256,Kagayanen,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,"Pebley y Macgregor, 2024, p. 525",1,
kaga1256,Kagayanen,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,"Pebley y Macgregor, 2024, p. 487",1,
kaga1256,Kagayanen,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,"Pebley y Macgregor, 2024, p. 525",1,
kaga1256,Kagayanen,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Pebley y Macgregor, 2024, p. 487",1,
kaga1256,Kagayanen,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,"Pebley y Macgregor, 2024, p. 487",0,
kaga1256,Kagayanen,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Pebley y Macgregor, 2024, p. 487",1,
kaga1256,Kagayanen,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,"Pebley y Macgregor, 2024, p. 487",0,
kaga1256,Kagayanen,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Pebley y Macgregor, 2024, p. 487",1,
kaga1256,Kagayanen,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,"Pebley y Macgregor, 2024",0,
kaga1256,Kagayanen,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,"Pebley y Macgregor, 2024, p. 487",1,
kaga1256,Kagayanen,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,?,
kaga1256,Kagayanen,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,"Pebley y Macgregor, 2024",0,
kaga1256,Kagayanen,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,"Pebley y Macgregor, 2024, p. 494-496",1,
kaga1256,Kagayanen,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Pebley y Macgregor, 2024, p. 515",1,la marca de absolutivo es la misma que la de instrumental
