Glottocode,Language,Family,Ergon_ID,,Source_comment,Value,Comment
kaki1249,Kaki Ae,Trans-New Guinea,GB409_1,Is there an overt marker for the absolutive?,,?,
kaki1249,Kaki Ae,Trans-New Guinea,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Clifton, 1995, p. 7",1,
kaki1249,Kaki Ae,Trans-New Guinea,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Clifton, 1995, p. 80",1,
kaki1249,Kaki Ae,Trans-New Guinea,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Clifton, 1995, p. 6",1,
kaki1249,Kaki Ae,Trans-New Guinea,GB409_5,Is there ergative alignment of flagging on full NPs?,"Clifton, 1995",1,
kaki1249,Kaki Ae,Trans-New Guinea,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,"Clifton, 1995, p. 8",1,
kaki1249,Kaki Ae,Trans-New Guinea,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Clifton, 1995, p. 6",1,
kaki1249,Kaki Ae,Trans-New Guinea,GB409_8,Is there ergative alignment of flagging in the past tense?,"Clifton, 1995, p. 7",1,
kaki1249,Kaki Ae,Trans-New Guinea,GB409_9,Is there ergative alignment of flagging in non-past tenses?,,?,
kaki1249,Kaki Ae,Trans-New Guinea,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Clifton, 1995, p. 6",1,
kaki1249,Kaki Ae,Trans-New Guinea,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,"Clifton, 1995, p. 8",1,
kaki1249,Kaki Ae,Trans-New Guinea,GB409_12,Is there ergative alignment of flagging in the realis status?,"Clifton, 1995, p. 6",1,
kaki1249,Kaki Ae,Trans-New Guinea,GB409_13,Is there ergative alignment of flagging in the irrealis status?,,?,
kaki1249,Kaki Ae,Trans-New Guinea,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Clifton, 1995, p. 8",,
kaki1249,Kaki Ae,Trans-New Guinea,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,,?,
kaki1249,Kaki Ae,Trans-New Guinea,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Clifton, 1995, p. 8",,
kaki1249,Kaki Ae,Trans-New Guinea,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,,?,
kaki1249,Kaki Ae,Trans-New Guinea,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Clifton, 1995, p. 6",1,
kaki1249,Kaki Ae,Trans-New Guinea,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,"Clifton, 1995, p. 8",1,
kaki1249,Kaki Ae,Trans-New Guinea,GB409_20,Is there ergative alignment of flagging in main clauses?,"Clifton, 1995, p. 8",1,
kaki1249,Kaki Ae,Trans-New Guinea,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,?,
kaki1249,Kaki Ae,Trans-New Guinea,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,,?,
kaki1249,Kaki Ae,Trans-New Guinea,GB409_23,Are the ergative and the genitive expressed by the same marker?,,?,
kaki1249,Kaki Ae,Trans-New Guinea,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,,?,
