Glottocode,Language,Family,Ergon_ID,,Source_comment,Value,Comment
kara1476,Karajarri,Pama-Nyungan,GB409_1,Is there an overt marker for the absolutive?,"Mckelson, 2004",?,
kara1476,Karajarri,Pama-Nyungan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,,?,
kara1476,Karajarri,Pama-Nyungan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,,?,
kara1476,Karajarri,Pama-Nyungan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,,?,
kara1476,Karajarri,Pama-Nyungan,GB409_5,Is there ergative alignment of flagging on full NPs?,,?,
kara1476,Karajarri,Pama-Nyungan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,,?,
kara1476,Karajarri,Pama-Nyungan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,,?,
kara1476,Karajarri,Pama-Nyungan,GB409_8,Is there ergative alignment of flagging in the past tense?,,?,
kara1476,Karajarri,Pama-Nyungan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,,?,
kara1476,Karajarri,Pama-Nyungan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,,?,
kara1476,Karajarri,Pama-Nyungan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,,?,
kara1476,Karajarri,Pama-Nyungan,GB409_12,Is there ergative alignment of flagging in the realis status?,,?,
kara1476,Karajarri,Pama-Nyungan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,,?,
kara1476,Karajarri,Pama-Nyungan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,,?,
kara1476,Karajarri,Pama-Nyungan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,,?,
kara1476,Karajarri,Pama-Nyungan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,,?,
kara1476,Karajarri,Pama-Nyungan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,,?,
kara1476,Karajarri,Pama-Nyungan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,,?,
kara1476,Karajarri,Pama-Nyungan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,,?,
kara1476,Karajarri,Pama-Nyungan,GB409_20,Is there ergative alignment of flagging in main clauses?,,?,
kara1476,Karajarri,Pama-Nyungan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,?,
kara1476,Karajarri,Pama-Nyungan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,,?,
kara1476,Karajarri,Pama-Nyungan,GB409_23,Are the ergative and the genitive expressed by the same marker?,,?,
kara1476,Karajarri,Pama-Nyungan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,,?,
