Glottocode,Language,Family,Ergon_ID,,Source_comment,Value,Comment
katu1276,Katu,Austroasiatic,GB409_1,Is there an overt marker for the absolutive?,"Dos anjos, 2011, p. 379",0,
katu1276,Katu,Austroasiatic,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Dos anjos, 2011, p. 374",0,
katu1276,Katu,Austroasiatic,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Dos anjos, 2011, p. 368",0,
katu1276,Katu,Austroasiatic,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Dos anjos, 2011, p. 421",1,
katu1276,Katu,Austroasiatic,GB409_5,Is there ergative alignment of flagging on full NPs?,"Dos anjos, 2011, p. 421",1,
katu1276,Katu,Austroasiatic,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,,?,
katu1276,Katu,Austroasiatic,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Dos anjos, 2011, p. 421",1,
katu1276,Katu,Austroasiatic,GB409_8,Is there ergative alignment of flagging in the past tense?,"Dos anjos, 2011, p. 421",1,
katu1276,Katu,Austroasiatic,GB409_9,Is there ergative alignment of flagging in non-past tenses?,,?,
katu1276,Katu,Austroasiatic,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Dos anjos, 2011, p. 421",1,
katu1276,Katu,Austroasiatic,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,,?,
katu1276,Katu,Austroasiatic,GB409_12,Is there ergative alignment of flagging in the realis status?,"Dos anjos, 2011, p. 421",1,
katu1276,Katu,Austroasiatic,GB409_13,Is there ergative alignment of flagging in the irrealis status?,,?,
katu1276,Katu,Austroasiatic,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Dos anjos, 2011, p. 421",1,
katu1276,Katu,Austroasiatic,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,,?,
katu1276,Katu,Austroasiatic,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Dos anjos, 2011, p. 421",1,
katu1276,Katu,Austroasiatic,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,,?,
katu1276,Katu,Austroasiatic,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Dos anjos, 2011, p. 421",1,
katu1276,Katu,Austroasiatic,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,,?,
katu1276,Katu,Austroasiatic,GB409_20,Is there ergative alignment of flagging in main clauses?,"Dos anjos, 2011, p. 421",1,
katu1276,Katu,Austroasiatic,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,?,
katu1276,Katu,Austroasiatic,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,,?,
katu1276,Katu,Austroasiatic,GB409_23,Are the ergative and the genitive expressed by the same marker?,"Dos anjos, 2011, p. 363",0,
katu1276,Katu,Austroasiatic,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Dos anjos, 2011, p. 324",0,
