Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment
moro1289,Marori,Trans-New Guinea,GB409_1,Is there an overt marker for the absolutive?,1,Arka 2012:153,The absolutive mark is =i
moro1289,Marori,Trans-New Guinea,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Arka 2012:153,"Found in examples 3(a), 5(b), 6(c)."
moro1289,Marori,Trans-New Guinea,GB409_3,Is there ergative alignment of flagging on second person pronouns?,?,Arka 2012:in passim,
moro1289,Marori,Trans-New Guinea,GB409_4,Is there ergative alignment of flagging on third person pronouns?,?,Arka 2012:in passim,
moro1289,Marori,Trans-New Guinea,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Arka 2012:154,"Found in examples 1(a), 5(a), 6."
moro1289,Marori,Trans-New Guinea,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,Arka 2012:in passim,
moro1289,Marori,Trans-New Guinea,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,?,Arka 2012:in passim,
moro1289,Marori,Trans-New Guinea,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Arka 2012:154,"Found in examples 1, 3, 5 and others."
moro1289,Marori,Trans-New Guinea,GB409_9,Is there ergative alignment of flagging in non-past tenses?,?,Arka 2012:in passim,
moro1289,Marori,Trans-New Guinea,GB409_10,Is there ergative alignment of flagging in the indicative mood?,?,Arka 2012:in passim,
moro1289,Marori,Trans-New Guinea,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,Arka 2012:in passim,
moro1289,Marori,Trans-New Guinea,GB409_12,Is there ergative alignment of flagging in the realis status?,?,Arka 2012:in passim,
moro1289,Marori,Trans-New Guinea,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,Arka 2012:in passim,
moro1289,Marori,Trans-New Guinea,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,?,Arka 2012:in passim,
moro1289,Marori,Trans-New Guinea,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,Arka 2012:in passim,
moro1289,Marori,Trans-New Guinea,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Arka 2012:in passim,
moro1289,Marori,Trans-New Guinea,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Arka 2012:in passim,
moro1289,Marori,Trans-New Guinea,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,?,Arka 2012:in passim,
moro1289,Marori,Trans-New Guinea,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Arka 2012:in passim,
moro1289,Marori,Trans-New Guinea,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Arka 2012:154,Found in examples.
moro1289,Marori,Trans-New Guinea,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,Arka 2012:in passim,
moro1289,Marori,Trans-New Guinea,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,Arka 2012:153,"The patientive S of motion predicate do not receives =i, instead, receives suffix agreement."
moro1289,Marori,Trans-New Guinea,GB409_23,Are the ergative and the genitive expressed by the same marker?,?,Arka 2012:in passim,
moro1289,Marori,Trans-New Guinea,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,?,Arka 2012:in passim,
