Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment
naru1238,Narungga,Pama-Nyungan,GB409_1,Is there an overt marker for the absolutive?,1,Eira 2010:57-58,"There is no ABS marker for nouns, but the language has absolutive pronouns."
naru1238,Narungga,Pama-Nyungan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Eira 2010:55, 57-58",Found in example (4.2).
naru1238,Narungga,Pama-Nyungan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Eira 2010:55, 57-58",Found in example (4.2).
naru1238,Narungga,Pama-Nyungan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Eira 2010:55, 57-58",
naru1238,Narungga,Pama-Nyungan,GB409_5,Is there ergative alignment of flagging on full NPs?,0,Eira 2010:55,Found in example (4.2).
naru1238,Narungga,Pama-Nyungan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,Eira 2010:in passim,There is no explicit mention or examples found.
naru1238,Narungga,Pama-Nyungan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,?,Eira 2010:in passim,There is no explicit mention or examples found.
naru1238,Narungga,Pama-Nyungan,GB409_8,Is there ergative alignment of flagging in the past tense?,?,Eira 2010:74,"The grammar says: only the present tense is overtly indicated in the collections, but is possible to found in example (6.22)."
naru1238,Narungga,Pama-Nyungan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Eira 2010:55,Found in example (4.2).
naru1238,Narungga,Pama-Nyungan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,?,Eira 2010:in passim,There is no explicit mention or examples found.
naru1238,Narungga,Pama-Nyungan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,Eira 2010:in passim,
naru1238,Narungga,Pama-Nyungan,GB409_12,Is there ergative alignment of flagging in the realis status?,?,Eira 2010:in passim,There is no explicit mention or examples found.
naru1238,Narungga,Pama-Nyungan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,Eira 2010:in passim,There is no explicit mention or examples found.
naru1238,Narungga,Pama-Nyungan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Eira 2010:55,Found in example (4.2).
naru1238,Narungga,Pama-Nyungan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,Eira 2010:in passim,
naru1238,Narungga,Pama-Nyungan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Eira 2010:in passim,
naru1238,Narungga,Pama-Nyungan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Eira 2010:in passim,
naru1238,Narungga,Pama-Nyungan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Eira 2010:55,Found in example (4.2).
naru1238,Narungga,Pama-Nyungan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Eira 2010:in passim,
naru1238,Narungga,Pama-Nyungan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Eira 2010:55,Found in example (4.2).
naru1238,Narungga,Pama-Nyungan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,Eira 2010:in passim,
naru1238,Narungga,Pama-Nyungan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,?,Eira 2010:in passim,
naru1238,Narungga,Pama-Nyungan,GB409_23,Are the ergative and the genitive expressed by the same marker?,?,Eira 2010:in passim,
naru1238,Narungga,Pama-Nyungan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,?,Eira 2010:in passim,
