Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
patt1248,Pattani,Indo-European,GB409_1,Is there an overt marker for the absolutive?,1,Sharma 1982:112,,
patt1248,Pattani,Indo-European,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Sharma 1982:127,See table 10.0,
patt1248,Pattani,Indo-European,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Sharma 1982:127,See table 10.0,
patt1248,Pattani,Indo-European,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Sharma 1982:127,See table 10.0,
patt1248,Pattani,Indo-European,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Sharma 1982:111-119,,
patt1248,Pattani,Indo-European,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,Sharma 1982:111-119,,
patt1248,Pattani,Indo-European,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,?,Sharma 1982:111-119,,
patt1248,Pattani,Indo-European,GB409_8,Is there ergative alignment of flagging in the past tense?,?,Sharma 1982:111-119,,
patt1248,Pattani,Indo-European,GB409_9,Is there ergative alignment of flagging in non-past tenses?,?,Sharma 1982:111-119,,
patt1248,Pattani,Indo-European,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Sharma 1982:118,,
patt1248,Pattani,Indo-European,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,Sharma 1982:111-119,,
patt1248,Pattani,Indo-European,GB409_12,Is there ergative alignment of flagging in the realis status?,?,Sharma 1982:111-119,,
patt1248,Pattani,Indo-European,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,Sharma 1982:111-119,,
patt1248,Pattani,Indo-European,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,?,Sharma 1982:111-119,,
patt1248,Pattani,Indo-European,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,Sharma 1982:111-119,,
patt1248,Pattani,Indo-European,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Sharma 1982:111-119,,
patt1248,Pattani,Indo-European,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Sharma 1982:111-119,,
patt1248,Pattani,Indo-European,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,?,Sharma 1982:111-119,,
patt1248,Pattani,Indo-European,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Sharma 1982:111-119,,
patt1248,Pattani,Indo-European,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Sharma 1982:111-119,,
patt1248,Pattani,Indo-European,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,Sharma 1982:111-119,,
patt1248,Pattani,Indo-European,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,Sharma 1982:111-119,,
patt1248,Pattani,Indo-European,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,"Sharma 1982:112-115, 120",,
patt1248,Pattani,Indo-European,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,?,Sharma 1982:,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
