Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment
ship1254,Shipibo-Konibo,Panoan,GB409_1,Is there an overt marker for the absolutive?,1,Valenzuela 2010: 71 (Table 1),"allomorph -a appears on 1sg, 2sg, 1pl pronouns and interrogative tso-. Ergative is overtly marked with -n (rich allomorphy)."
ship1254,Shipibo-Konibo,Panoan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Valenzuela 2010: 71-72 (Table 1, exx. 1-4)",1sg: ERG e-n vs. ABS e-a; 1pl: ERG no-n vs. ABS no-a. All persons follow ergative-absolutive alignment. SK is the only Panoan language where ALL personal pronouns follow ergative-absolutive distribution (p.93).
ship1254,Shipibo-Konibo,Panoan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Valenzuela 2010: 71-73 (Table 1, exx. 8-10)",2sg: ERG mi-n vs. ABS mi-a; 2pl: ERG mato-n vs. ABS mato. All second person pronouns follow ergative-absolutive alignment.
ship1254,Shipibo-Konibo,Panoan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Valenzuela 2010: 71-72 (Table 1, exx. 11-13)",3sg: ERG ja-n vs. ABS ja; 3pl: ERG jato-n~jabaon vs. ABS jato~jabo. All third person pronouns follow ergative-absolutive alignment.
ship1254,Shipibo-Konibo,Panoan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Valenzuela 2010: 71-76 (Table 1, exx. 3-6, 14-26)","Full NPs marked with -n (ergative) vs. zero (absolutive). System is highly consistent and syntactically based, applying regardless of agentivity, volitionality, or animacy of A argument."
ship1254,Shipibo-Konibo,Panoan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Valenzuela 2010: 72-76,"Ergative-absolutive alignment applies in imperfective (incompletive -ai) clauses. The only exception is the dedicated progressive construction (VERB-i ik-), which is neutral (see GB409_22)."
ship1254,Shipibo-Konibo,Panoan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Valenzuela 2010: 72-76 (exx. 4, 18-26)",Ergative-absolutive alignment applies in perfective (completive -ke) clauses without exception.
ship1254,Shipibo-Konibo,Panoan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Valenzuela 2010: 72-76,Ergative-absolutive alignment applies in past tense clauses. No tense-based split reported.
ship1254,Shipibo-Konibo,Panoan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Valenzuela 2010: 72-76,Ergative-absolutive alignment applies in non-past clauses. No tense-based split reported.
ship1254,Shipibo-Konibo,Panoan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Valenzuela 2010: 72-76,Ergative-absolutive alignment applies in indicative clauses. No mood-based split reported for indicative.
ship1254,Shipibo-Konibo,Panoan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Valenzuela 2010: 76-77,"Ergative-absolutive alignment maintained in non-indicative moods. The desiderative -kas creates an intransitive construction with both arguments in absolutive, but this is a valency-reducing operation, not a mood-based split per se."
ship1254,Shipibo-Konibo,Panoan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Valenzuela 2010: 72-76,Ergative-absolutive alignment applies in realis clauses. No realis/irrealis split reported.
ship1254,Shipibo-Konibo,Panoan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Valenzuela 2010: 72-76,Ergative-absolutive alignment applies in irrealis clauses. No realis/irrealis split reported.
ship1254,Shipibo-Konibo,Panoan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Valenzuela 2010: 74-76 (exx. 18-26),Ergative marking applies to agentive A arguments.
ship1254,Shipibo-Konibo,Panoan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Valenzuela 2010: 74-76 (exx. 18-26),"Crucially, ergative marking is maintained even with non-volitional, non-controller, non-initiator agents (exx. 18-20) and inanimate agents (exx. 21-22). The system is syntactically based, not semantically based."
ship1254,Shipibo-Konibo,Panoan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Valenzuela 2010: 72-76,Ergative marking applies regardless of topicality of A. No discourse-pragmatic split reported for case marking on core arguments.
ship1254,Shipibo-Konibo,Panoan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Valenzuela 2010: 72-76,Ergative marking applies regardless of topicality. No discourse-pragmatic split reported.
ship1254,Shipibo-Konibo,Panoan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Valenzuela 2010: 72-76,Ergative marking applies to animate A arguments.
ship1254,Shipibo-Konibo,Panoan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,"Valenzuela 2010: 74-76 (exx. 21-22, 25)","Ergative marking applies even to inanimate A arguments (e.g. 'rice sack', 'vomit', 'flowing water' as A). This is explicitly highlighted as a notable feature of SK."
ship1254,Shipibo-Konibo,Panoan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Valenzuela 2010: 72-76,Ergative-absolutive alignment applies in main clauses.
ship1254,Shipibo-Konibo,Panoan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Valenzuela 2010: 80-83 (exx. 43-49),"Ergative-absolutive alignment applies in subordinate/relative clauses. Internally-headed relative clauses exhibit an absolutive pivot (syntactic ergativity), but case marking on NPs within the relative clause remains ergative-absolutive."
ship1254,Shipibo-Konibo,Panoan,GB409_22,Is there ergative alignment of flagging conditioned by other factors?,1,Valenzuela 2010: 83-85 (exx. 50-54),SPLIT: The dedicated progressive construction (VERB-i ik-) triggers neutral case marking (both A and O in absolutive) for most speakers. This is analyzed as a recent reanalysis of a biclausal structure. Some speakers still allow ergative in this construction. This is the only instance of a case-marking split in SK.
ship1254,Shipibo-Konibo,Panoan,GB409_23,Is the ergative marker the same as the genitive marker?,1,"Valenzuela 2010: 71 (Table 1), 68","Yes. The marker -n (with rich allomorphy) expresses both ergative and genitive functions. For most nouns and pronouns (except 1sg), the ergative and genitive forms are identical (Table 1). The abstract marker -n covers ergative, genitive, instrumental, and other oblique functions."
ship1254,Shipibo-Konibo,Panoan,GB409_24,Is the ergative marker the same as the instrumental/comitative marker?,1,"Valenzuela 2010: 68, 71 (Table 1)","Yes. The marker -n expresses ergative, genitive, instrumental, and other oblique functions (p.68). Instrumental is expressed by the same -n marker (e.g. jiwi-n 'with a stick', exx. 18, 23-24). Comitative is expressed by a distinct marker -be (e.g. mi-bé 'with you', ex. 46)."
