Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
achi1257,Acehnese,Austronesian,GB409_1,Is there an overt marker for the absolutive?,0,"Asyik 1987: 133, 224-226, 229",There is no explicit marker for the absolutive case.,
achi1257,Acehnese,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,"Asyik 1987: 41, 133, 221, 231",Argument marking follows a nominative-accusative alignment and is carried out through pronominal clitics indexed on the verb.,
achi1257,Acehnese,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,"Asyik 1987: 41, 44, 145, 269",Argument marking follows a nominative-accusative alignment and is carried out through pronominal clitics indexed on the verb.,
achi1257,Acehnese,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,"Asyik 1987: 41, 130, 164, 229",Argument marking follows a nominative-accusative alignment and is carried out through pronominal clitics indexed on the verb.,
achi1257,Acehnese,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,0,"Asyik 1987: 225, 230","The alignment is nominative-accusative; the arguments S and A are treated the same, without any case marking in the noun phrase.",
achi1257,Acehnese,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,0,Asyik 1987: 167-168,The alignment is nominative-accusative in all the aspectual constructions described.,
achi1257,Acehnese,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,0,"Asyik 1987: 130, 166-168",The alignment is nominative-accusative in all the aspectual constructions described.,
achi1257,Acehnese,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,0,"Asyik 1987: 133, 166-167, 229",The alignment is nominative-accusative regardless of tense.,
achi1257,Acehnese,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,0,Asyik 1987: 166-169,The alignment is nominative-accusative regardless of tense.,
achi1257,Acehnese,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,0,"Asyik 1987: 167, 225, 229, 285",The alignment is nominative-accusative in clauses in the indicative mood.,
achi1257,Acehnese,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,0,"Asyik 1987: 142, 145, 170,  281-282, 285",The alignment is nominative-accusative in clauses in the non-indicative mood.,
achi1257,Acehnese,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,0,"Asyik 1987: 130, 164, 167","There is no ergative alignment in clauses with realis status, the alignment is nominative-accusative.",
achi1257,Acehnese,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,0,"Asyik 1987: 169, 170, 175","There is no ergative alignment in clauses with irrealis status, the alignment is nominative-accusative.",
achi1257,Acehnese,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,0,"Asyik 1987: 225, 230","The distinction of agentivity is manifested in the indexing of verbal clitics, not in the marking of NPs.",
achi1257,Acehnese,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,0,"Asyik 1987: 167, 225, 259","The distinction of agentivity is manifested in the indexing of verbal clitics, not in the marking of NPs.",
achi1257,Acehnese,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,0,Asyik 1987: 217-218,Marking for topical A arguments is done through a nominative-accusative alignment (with the particle di).,
achi1257,Acehnese,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,0,"Asyik 1987: 164, 225",Alignment is marked by indexing the verb; in non-topical contexts  not induce ergative alignment.,
achi1257,Acehnese,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,0,"Asyik 1987: 154, 225, 229, 238",The inanimacy of argument A does not induce ergative alignment.,
achi1257,Acehnese,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,0,Asyik 1987: 238-239,The animacy of argument A does not induce ergative alignment.,
achi1257,Acehnese,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,0,"Asyik 1987: 218, 225, 229, 453","In main clauses, the alignment is neutral.",
achi1257,Acehnese,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,0,"Asyik 1987: 225, 326-327, 384","In no-main clauses, the alignment is neutral.",
achi1257,Acehnese,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,"Asyik 1987: 44, 167, 257",There is no factor that conditions an ergative alignment in the marking of nominal phrases (flagging).,
achi1257,Acehnese,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Asyik 1987: 44,It has no ergative case marker (flagging). The genitive marker is an enclitic attached to the noun.,
achi1257,Acehnese,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,Asyik 1987: 440,The ergative case does not have the same marker as the instrumental or comitative marker.,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
