Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
nort2722,Northern Qiang,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,0,,,
nort2722,Northern Qiang,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,,,
nort2722,Northern Qiang,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,,,
nort2722,Northern Qiang,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,,,
nort2722,Northern Qiang,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,0,,,
nort2722,Northern Qiang,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,0,,,
nort2722,Northern Qiang,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,0,,,
nort2722,Northern Qiang,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,0,,,
nort2722,Northern Qiang,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,0,,,
nort2722,Northern Qiang,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,0,,,
nort2722,Northern Qiang,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,0,,,
nort2722,Northern Qiang,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,0,,,
nort2722,Northern Qiang,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,0,,,
nort2722,Northern Qiang,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,0,,,
nort2722,Northern Qiang,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,0,,,
nort2722,Northern Qiang,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,0,,,
nort2722,Northern Qiang,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,0,,,
nort2722,Northern Qiang,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,0,,,
nort2722,Northern Qiang,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,0,,,
nort2722,Northern Qiang,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,0,,,
nort2722,Northern Qiang,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,0,,,
nort2722,Northern Qiang,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,,,
nort2722,Northern Qiang,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,,,
nort2722,Northern Qiang,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,,,
,,,,,,,,
nort2722,Northern Qiang,Trans-Himalayan,all,"p.121 ""That is, the single argument of the intransitive use corresponds to the actor of
the transitive use"".",,,,
nort2722,Northern Qiang,Trans-Himalayan,,"p. 174 split ""In some cases of verb concatenation, the prefix and person marking
are split between different verbs, as the person marking is added to the
last element of the verb complex"".",,,,
nort2722,Northern Qiang,Trans-Himalayan,,"p. 51 ""Pronouns take the same cases and case marking forms as nouns"".",,,,
nort2722,Northern Qiang,Trans-Himalayan,,"p. 121 ""Intransitive verbs take only one direct argument, and any other
participants added to the clause must take some sort of semantic case
marking"".",,,,
nort2722,Northern Qiang,Trans-Himalayan,,"p. 245 ""In terms of cross-clause coreference, there do not seem to be either
accusative or ergative syntactic restrictions on control of the zero
anaphor of the second clause"".",,,,
nort2722,Northern Qiang,Trans-Himalayan,,El pivote sintáctico depende de la semántica: p.,,,,
