Glottocode,Name,Family,n_domains_full,n_domains_partial,domains_full,domains_partial,status_Person,status_Aspect,status_Tense,status_Mood,status_Realis,status_Agentivity,status_Topicality,status_Animacy,status_Clause type
byan1241,Byansi,Trans-Himalayan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
guny1241,Gunya,Pama-Nyungan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
binu1244,Binukid,Austronesian,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
lush1249,Mizo,Trans-Himalayan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
boun1245,Ku Waru,Trans-New Guinea,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
lipo1242,Lipo,Trans-Himalayan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
bujh1238,Bhujel,Trans-Himalayan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
gana1278,Ganai,Pama-Nyungan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
east2516,East Kewa,Trans-New Guinea,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
lezg1247,Lezgian,Nakh-Daghestanian,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
lepc1244,Lepcha,Trans-Himalayan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
casi1235,Casiguran Dumagat Agta,Austronesian,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
cavi1250,Cavineña,Tacanan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
lemb1266,Lembena,Trans-New Guinea,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
lamj1247,Lamjung Yolmo,Trans-Himalayan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
kamu1260,Kamula,Trans-New Guinea,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
kalk1246,Kalkatungu,Pama-Nyungan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
gugu1255,Guugu Yimithirr,Pama-Nyungan,9,9,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,Person; Aspect; Tense; Mood; Realis; Agentivity; Topicality; Animacy; Clause type,full,full,full,full,full,full,full,full,full
