Glottocode,n_coded,n_match,score,score_of_total,ID,Name,Family,Ergative_type
guiq1238,17,17,1.0,0.7727272727272727,guiq1238,Guiqiong,Trans-Himalayan,Ergative
dzon1239,12,12,1.0,0.5454545454545454,dzon1239,Dzongkha,Trans-Himalayan,Ergative
mais1250,22,22,1.0,1.0,mais1250,Maisin,Trans-New Guinea,Ergative
chan1313,15,15,1.0,0.6818181818181818,chan1313,Chang Naga,Trans-Himalayan,Ergative
chuk1273,20,20,1.0,0.9090909090909091,chuk1273,Chukchi,Chukotko-Kamchatkan,Ergative
coeu1236,14,14,1.0,0.6363636363636364,coeu1236,Coeur d'Alene,Salishan,Ergative
kalk1246,19,19,1.0,0.8636363636363636,kalk1246,Kalkatungu,Pama-Nyungan,Ergative
kaki1249,13,13,1.0,0.5909090909090909,kaki1249,Kaki Ae,Trans-New Guinea,Ergative
lipo1242,22,22,1.0,1.0,lipo1242,Lipo,Trans-Himalayan,Ergative
darm1243,20,20,1.0,0.9090909090909091,darm1243,Darma,Trans-Himalayan,Ergative
jaru1254,20,20,1.0,0.9090909090909091,jaru1254,Jaru,Pama-Nyungan,Ergative
masb1238,22,22,1.0,1.0,masb1238,Masbatenyo,Austronesian,Ergative
ersu1241,16,16,1.0,0.7272727272727273,ersu1241,Ersu,Trans-Himalayan,Ergative
nhan1238,18,18,1.0,0.8181818181818182,nhan1238,Nhanda,Pama-Nyungan,Ergative
hurr1240,22,22,1.0,1.0,hurr1240,Hurrian,Hurro-Urartian,Ergative
guny1241,14,14,1.0,0.6363636363636364,guny1241,Gunya,Pama-Nyungan,Ergative
amis1246,22,21,0.9545454545454546,0.9545454545454546,amis1246,Amis,Austronesian,Ergative
mail1248,22,21,0.9545454545454546,0.9545454545454546,mail1248,Magi,Trans-New Guinea,Ergative
belh1239,22,21,0.9545454545454546,0.9545454545454546,belh1239,Belhare,Trans-Himalayan,Ergative
bayb1234,22,21,0.9545454545454546,0.9545454545454546,bayb1234,Utudnon,Austronesian,Ergative
bawm1236,22,21,0.9545454545454546,0.9545454545454546,bawm1236,Bawm Chin,Trans-Himalayan,Ergative
lemb1266,22,21,0.9545454545454546,0.9545454545454546,lemb1266,Lembena,Trans-New Guinea,Ergative
casi1235,22,21,0.9545454545454546,0.9545454545454546,casi1235,Casiguran Dumagat Agta,Austronesian,Ergative
cavi1250,22,21,0.9545454545454546,0.9545454545454546,cavi1250,Cavineña,Tacanan,Ergative
ship1254,22,21,0.9545454545454546,0.9545454545454546,ship1254,Shipibo-Konibo,Panoan,Ergative
binu1244,22,21,0.9545454545454546,0.9545454545454546,binu1244,Binukid,Austronesian,Ergative
guru1261,22,21,0.9545454545454546,0.9545454545454546,guru1261,Gurung,Trans-Himalayan,Ergative
macu1259,22,21,0.9545454545454546,0.9545454545454546,macu1259,Macushi,Cariban,Ergative
awar1248,22,21,0.9545454545454546,0.9545454545454546,awar1248,Avar,Nakh-Daghestanian,Ergative
nort2885,22,21,0.9545454545454546,0.9545454545454546,nort2885,Northern Subanen,Austronesian,Ergative
east2851,22,21,0.9545454545454546,0.9545454545454546,east2851,Geshiza,Trans-Himalayan,Ergative
