Family,n,mean,sd,var
Trans-Himalayan,42,0.9109608117569197,0.07287394387048095,0.005310611695238008
Austronesian,31,0.8411765272633646,0.1978499346546709,0.03914459664285755
Pama-Nyungan,21,0.8909766890030049,0.08619084723502653,0.0074288621470916805
Trans-New Guinea,18,0.8852084409875948,0.09990863146474137,0.00998173464115751
Panoan,7,0.8246753246753248,0.08058229640253804,0.0064935064935064965
Indo-European,5,0.8050408105826061,0.048559651119583484,0.0023580397168556652
Nakh-Daghestanian,3,0.8030303030303031,0.26243194054073904,0.06887052341597798
Eskimo-Aleut,3,0.8439393939393939,0.0233254610883949,0.0005440771349862247
Macro-Jê,2,0.3181818181818182,0.3214121732666125,0.10330578512396693
Mirndi,2,0.9205882352941176,0.0291161615782695,0.0008477508650518971
Sino-Tibetan,2,0.8,0.0,0.0
Cariban,2,0.8383838383838385,0.16427733300293532,0.026987042138557304
Language isolate,2,0.8354978354978355,0.10407632277204604,0.01083188096175111
Salishan,2,0.9210526315789473,0.11164843913471806,0.012465373961218844
