Feature,CramersV,Domain,n_langs
GB409_23,0.6547259299058045,Other,121
GB409_6,0.6208438145497538,Aspect,112
GB409_3,0.4816319256896303,Person,122
GB409_15,0.4385918157816656,Agentivity,96
GB409_1,0.436868800893631,Baseline,125
GB409_17,0.4313536182678583,Topicality,92
GB409_4,0.4133199475744018,Person,124
GB409_2,0.4122470272215788,Person,125
GB409_9,0.40886285129469907,Tense,117
GB409_24,0.39806662266778736,Other,122
GB409_21,0.36258173870367394,Clause type,93
GB409_22,0.35409832628802346,Other,100
GB409_5,0.3228013837688189,Person,130
GB409_16,0.3172003438787843,Topicality,105
GB409_19,0.2758359801741323,Animacy,94
GB409_8,0.27403790649023063,Tense,128
GB409_13,0.2640185682857968,Realis,104
GB409_11,0.2632343828468243,Mood,104
GB409_7,0.2365425563241865,Aspect,122
GB409_18,0.22744962812309308,Animacy,127
GB409_10,0.2269152152350059,Mood,125
GB409_14,0.22051841472347,Agentivity,126
GB409_12,0.16675800294466003,Realis,125
GB409_20,0.15734099607941288,Clause type,130
