Glottocode,Name,Family,Split,val_a,val_b,Category
aben1249,Ayta Abenlen,Austronesian (Sambalic),"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
aben1249,Ayta Abenlen,Austronesian (Sambalic),"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
aben1249,Ayta Abenlen,Austronesian (Sambalic),"Mood
(NON-IND vs IND)",1,1,Uniform ERG
aben1249,Ayta Abenlen,Austronesian (Sambalic),"Realis
(IRR vs REAL)",1,1,Uniform ERG
adny1235,Adnyamathanha,Pama-Nyungan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
adny1235,Adnyamathanha,Pama-Nyungan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
adny1235,Adnyamathanha,Pama-Nyungan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
adny1235,Adnyamathanha,Pama-Nyungan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
aghu1254,Aghu,Trans-New Guinea,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
aghu1254,Aghu,Trans-New Guinea,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
aghu1254,Aghu,Trans-New Guinea,"Realis
(IRR vs REAL)",1,1,Uniform ERG
agus1235,Agusan Manobo,Austronesian,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
agus1235,Agusan Manobo,Austronesian,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
agus1235,Agusan Manobo,Austronesian,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
agus1235,Agusan Manobo,Austronesian,"Realis
(IRR vs REAL)",1,1,Uniform ERG
ahin1234,Kalanguya,Austronesian,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
ahin1234,Kalanguya,Austronesian,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
ahin1234,Kalanguya,Austronesian,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
ahin1234,Kalanguya,Austronesian,"Realis
(IRR vs REAL)",1,1,Uniform ERG
aime1238,Eibela,Trans-New Guinea,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
aime1238,Eibela,Trans-New Guinea,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
aime1238,Eibela,Trans-New Guinea,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
aime1238,Eibela,Trans-New Guinea,"Realis
(IRR vs REAL)",1,1,Uniform ERG
akun1241,Akuntsu,Language isolate,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
akun1241,Akuntsu,Language isolate,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
akun1241,Akuntsu,Language isolate,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
akun1241,Akuntsu,Language isolate,"Realis
(IRR vs REAL)",1,1,Uniform ERG
alba1269,Albay Bikol,Austronesian,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
alba1269,Albay Bikol,Austronesian,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
alba1269,Albay Bikol,Austronesian,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
alba1269,Albay Bikol,Austronesian,"Realis
(IRR vs REAL)",1,1,Uniform ERG
aleu1260,Aleut,Eskimo-Aleut,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
aleu1260,Aleut,Eskimo-Aleut,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
aleu1260,Aleut,Eskimo-Aleut,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
aleu1260,Aleut,Eskimo-Aleut,"Realis
(IRR vs REAL)",1,1,Uniform ERG
alya1239,Alyawarra,Arandic,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
alya1239,Alyawarra,Arandic,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
alya1239,Alyawarra,Arandic,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
alya1239,Alyawarra,Arandic,"Realis
(IRR vs REAL)",1,1,Uniform ERG
amam1246,Amam,Trans-New Guinea,"Aspect
(IMPF vs PERF)",0,1,Expected split
amam1246,Amam,Trans-New Guinea,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
amam1246,Amam,Trans-New Guinea,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
amam1246,Amam,Trans-New Guinea,"Realis
(IRR vs REAL)",1,1,Uniform ERG
amdo1237,Amdo Tibetan,Trans-Himalayan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
amdo1237,Amdo Tibetan,Trans-Himalayan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
amdo1237,Amdo Tibetan,Trans-Himalayan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
amdo1237,Amdo Tibetan,Trans-Himalayan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
amis1246,Amis,Austronesian,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
amis1246,Amis,Austronesian,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
amis1246,Amis,Austronesian,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
amis1246,Amis,Austronesian,"Realis
(IRR vs REAL)",1,1,Uniform ERG
ango1257,U'wa,Chibchan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
ango1257,U'wa,Chibchan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
ango1257,U'wa,Chibchan,"Mood
(NON-IND vs IND)",0,1,Expected split
ango1257,U'wa,Chibchan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
anut1237,Anutan,Austronesian,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
anut1237,Anutan,Austronesian,"Realis
(IRR vs REAL)",1,1,Uniform ERG
apin1244,Apinajé,Macro-Jê,"Aspect
(IMPF vs PERF)",0,0,Uniform NOM-ACC
apin1244,Apinajé,Macro-Jê,"Tense
(NON-PAST vs PAST)",0,0,Uniform NOM-ACC
apin1244,Apinajé,Macro-Jê,"Mood
(NON-IND vs IND)",0,0,Uniform NOM-ACC
apin1244,Apinajé,Macro-Jê,"Realis
(IRR vs REAL)",0,0,Uniform NOM-ACC
arab1267,Arabana,Pama-Nyungan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
arab1267,Arabana,Pama-Nyungan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
arab1267,Arabana,Pama-Nyungan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
arab1267,Arabana,Pama-Nyungan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
arta1239,Arta,Austronesian,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
arta1239,Arta,Austronesian,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
arta1239,Arta,Austronesian,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
arta1239,Arta,Austronesian,"Realis
(IRR vs REAL)",1,1,Uniform ERG
athp1241,Athpare,Trans-Himalayan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
athp1241,Athpare,Trans-Himalayan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
athp1241,Athpare,Trans-Himalayan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
athp1241,Athpare,Trans-Himalayan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
auye1238,Auye,Trans-New Guinea,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
auye1238,Auye,Trans-New Guinea,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
auye1238,Auye,Trans-New Guinea,"Realis
(IRR vs REAL)",1,1,Uniform ERG
awab1243,Awabakal,Pama-Nyungan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
awab1243,Awabakal,Pama-Nyungan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
awab1243,Awabakal,Pama-Nyungan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
awab1243,Awabakal,Pama-Nyungan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
awar1248,Avar,Nakh-Daghestanian,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
awar1248,Avar,Nakh-Daghestanian,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
awar1248,Avar,Nakh-Daghestanian,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
awar1248,Avar,Nakh-Daghestanian,"Realis
(IRR vs REAL)",1,1,Uniform ERG
bahi1252,Bahing,Trans-Himalayan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
bahi1252,Bahing,Trans-Himalayan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
bahi1252,Bahing,Trans-Himalayan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
bahi1252,Bahing,Trans-Himalayan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
bala1311,Balangao,Austronesian,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
bala1311,Balangao,Austronesian,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
bala1311,Balangao,Austronesian,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
bala1311,Balangao,Austronesian,"Realis
(IRR vs REAL)",1,1,Uniform ERG
bala1316,Nêlêmwa,Austronesian,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
bala1316,Nêlêmwa,Austronesian,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
bala1316,Nêlêmwa,Austronesian,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
bala1316,Nêlêmwa,Austronesian,"Realis
(IRR vs REAL)",1,1,Uniform ERG
bamb1270,Pitu Ulunna Salu,Austronesian,"Aspect
(IMPF vs PERF)",0,0,Uniform NOM-ACC
bamb1270,Pitu Ulunna Salu,Austronesian,"Tense
(NON-PAST vs PAST)",0,0,Uniform NOM-ACC
bamb1270,Pitu Ulunna Salu,Austronesian,"Mood
(NON-IND vs IND)",0,0,Uniform NOM-ACC
bamb1270,Pitu Ulunna Salu,Austronesian,"Realis
(IRR vs REAL)",0,0,Uniform NOM-ACC
bant1281,Bantawa,Trans-Himalayan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
bant1281,Bantawa,Trans-Himalayan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
bant1281,Bantawa,Trans-Himalayan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
bant1281,Bantawa,Trans-Himalayan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
bara1357,Baram Thangmi,Trans-Himalayan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
bara1357,Baram Thangmi,Trans-Himalayan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
bara1357,Baram Thangmi,Trans-Himalayan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
bara1357,Baram Thangmi,Trans-Himalayan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
basq1248,Basque,Language isolate,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
basq1248,Basque,Language isolate,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
basq1248,Basque,Language isolate,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
basq1248,Basque,Language isolate,"Realis
(IRR vs REAL)",1,1,Uniform ERG
bawm1236,Bawm Chin,Trans-Himalayan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
bawm1236,Bawm Chin,Trans-Himalayan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
bawm1236,Bawm Chin,Trans-Himalayan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
bawm1236,Bawm Chin,Trans-Himalayan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
bayb1234,Utudnon,Austronesian,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
bayb1234,Utudnon,Austronesian,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
bayb1234,Utudnon,Austronesian,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
bayb1234,Utudnon,Austronesian,"Realis
(IRR vs REAL)",1,1,Uniform ERG
belh1239,Belhare,Trans-Himalayan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
belh1239,Belhare,Trans-Himalayan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
belh1239,Belhare,Trans-Himalayan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
belh1239,Belhare,Trans-Himalayan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
bina1277,Binahari,Trans-New Guinea,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
bina1277,Binahari,Trans-New Guinea,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
bina1277,Binahari,Trans-New Guinea,"Mood
(NON-IND vs IND)",0,1,Expected split
bina1277,Binahari,Trans-New Guinea,"Realis
(IRR vs REAL)",1,1,Uniform ERG
binu1244,Binukid,Austronesian,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
binu1244,Binukid,Austronesian,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
binu1244,Binukid,Austronesian,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
binu1244,Binukid,Austronesian,"Realis
(IRR vs REAL)",1,1,Uniform ERG
biri1256,Biri,Pama-Nyungan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
biri1256,Biri,Pama-Nyungan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
biri1256,Biri,Pama-Nyungan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
biri1256,Biri,Pama-Nyungan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
boun1245,Ku Waru,Trans-New Guinea,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
boun1245,Ku Waru,Trans-New Guinea,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
boun1245,Ku Waru,Trans-New Guinea,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
boun1245,Ku Waru,Trans-New Guinea,"Realis
(IRR vs REAL)",1,1,Uniform ERG
bugi1244,Bugis,Austronesian,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
bugi1244,Bugis,Austronesian,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
bugi1244,Bugis,Austronesian,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
bugi1244,Bugis,Austronesian,"Realis
(IRR vs REAL)",1,1,Uniform ERG
bujh1238,Bhujel,Trans-Himalayan,"Aspect
(IMPF vs PERF)",1,1,Uniform ERG
bujh1238,Bhujel,Trans-Himalayan,"Tense
(NON-PAST vs PAST)",1,1,Uniform ERG
bujh1238,Bhujel,Trans-Himalayan,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
bujh1238,Bhujel,Trans-Himalayan,"Realis
(IRR vs REAL)",1,1,Uniform ERG
bund1253,Bundeli,Indo-European,"Aspect
(IMPF vs PERF)",0,1,Expected split
bund1253,Bundeli,Indo-European,"Tense
(NON-PAST vs PAST)",0,1,Expected split
bund1253,Bundeli,Indo-European,"Mood
(NON-IND vs IND)",1,1,Uniform ERG
bund1253,Bundeli,Indo-European,"Realis
(IRR vs REAL)",1,1,Uniform ERG
