ID,Name,Glottocode,Family,Ergative_type
aben1249,Ayta Abenlen,aben1249,Austronesian (Sambalic),ergative
achi1257,Acehnese,achi1257,Austronesian,non_ergative
adny1235,Adnyamathanha,adny1235,Pama-Nyungan,ergative
aghu1254,Aghu,aghu1254,Trans-New Guinea,ergative
agus1235,Agusan Manobo,agus1235,Austronesian,ergative
ahin1234,Kalanguya,ahin1234,Austronesian,ergative
aime1238,Eibela,aime1238,Trans-New Guinea,ergative
akun1241,Akuntsu,akun1241,Language isolate,ergative
alba1269,Albay Bikol,alba1269,Austronesian,ergative
aleu1260,Aleut,aleu1260,Eskimo-Aleut,ergative
alya1239,Alyawarra,alya1239,Arandic,ergative
amam1246,Amam,amam1246,Trans-New Guinea,ergative
amdo1237,Amdo Tibetan,amdo1237,Trans-Himalayan,ergative
amis1246,Amis,amis1246,Austronesian,ergative
ango1257,U'wa,ango1257,Chibchan,ergative
anut1237,Anutan,anut1237,Austronesian,ergative
apat1240,Apatani,apat1240,Trans-Himalayan,non_ergative
apin1244,Apinajé,apin1244,Macro-Jê,ergative
arab1267,Arabana,arab1267,Pama-Nyungan,ergative
arta1239,Arta,arta1239,Austronesian,ergative
athp1241,Athpare,athp1241,Trans-Himalayan,ergative
auye1238,Auye,auye1238,Trans-New Guinea,ergative
awab1243,Awabakal,awab1243,Pama-Nyungan,ergative
awar1248,Avar,awar1248,Nakh-Daghestanian,ergative
ayiw1239,�iwoo,ayiw1239,Austronesian,ergative
bahi1252,Bahing,bahi1252,Trans-Himalayan,ergative
bala1311,Balangao,bala1311,Austronesian,ergative
bala1316,Nêlêmwa,bala1316,Austronesian,ergative
bamb1270,Pitu Ulunna Salu,bamb1270,Austronesian,ergative
bant1281,Bantawa,bant1281,Trans-Himalayan,ergative
bara1357,Baram Thangmi,bara1357,Trans-Himalayan,ergative
basq1248,Basque,basq1248,Language isolate,ergative
bawm1236,Bawm Chin,bawm1236,Trans-Himalayan,ergative
bayb1234,Utudnon,bayb1234,Austronesian,ergative
belh1239,Belhare,belh1239,Trans-Himalayan,ergative
bert1248,Berta,bert1248,Nilo-Saharan,non_ergative
bier1244,Bierebo,bier1244,Austronesian,non_ergative
bilb1241,Bilibil,bilb1241,Austronesian,problematic
bina1277,Binahari,bina1277,Trans-New Guinea,ergative
binu1244,Binukid,binu1244,Austronesian,ergative
biri1256,Biri,biri1256,Pama-Nyungan,ergative
boun1245,Ku Waru,boun1245,Trans-New Guinea,ergative
bugi1244,Bugis,bugi1244,Austronesian,ergative
bujh1238,Bhujel,bujh1238,Trans-Himalayan,ergative
bund1253,Bundeli,bund1253,Indo-European,ergative
byan1241,Byansi,byan1241,Trans-Himalayan,ergative
caca1251,Kakataibo,caca1251,Panoan,ergative
caml1239,Camling,caml1239,Trans-Himalayan,ergative
casi1235,Casiguran Dumagat Agta,casi1235,Austronesian,ergative
cavi1250,Cavineña,cavi1250,Tacanan,ergative
cemu1238,Cemuhî,cemu1238,Austronesian,non_ergative
cent2127,Central Alaskan Yupik,cent2127,Eskimo-Aleut,ergative
chac1251,Chacobo,chac1251,Panoan,ergative
chan1313,Chang Naga,chan1313,Trans-Himalayan,ergative
chep1245,Chepang,chep1245,Trans-Himalayan,ergative
choc1275,Chocangacakha,choc1275,Trans-Himalayan,ergative
chug1252,Duhumbi,chug1252,Trans-Himalayan,ergative
chuk1273,Chukchi,chuk1273,Chukotko-Kamchatkan,ergative
coch1272,Cochimí,coch1272,Cochimí-Yuman,ergative
coeu1236,Coeur d'Alene,coeu1236,Salishan,problematic
colu1241,Nxaamxcin,colu1241,Salishan,ergative
coos1249,Hanis Coos,coos1249,Coosan,ergative
cuti1242,Katukina-Kanamari,cuti1242,Katukina,ergative
daai1236,Daai Chin,daai1236,Trans-Himalayan,ergative
dara1250,Darai,dara1250,Indo-European,ergative
darl1243,Paakantyi,darl1243,Pama-Nyungan,ergative
darm1243,Darma,darm1243,Trans-Himalayan,ergative
dech1234,Lisu (Dechang dialect),dech1234,Sino-Tibetan,ergative
dhar1247,Thargari,dhar1247,Pama-Nyungan,ergative
dhar1248,Dharumbal,dhar1248,Pama-Nyungan,ergative
dier1241,Dieri,dier1241,Pama-Nyungan,ergative
diga1241,Idu Mishmi,diga1241,Trans-Himalayan,ergative
djam1255,Jaminjung,djam1255,Mirndi,ergative
djap1238,Djapu,djap1238,Pama-Nyungan,ergative
djin1251,Jingulu,djin1251,Mirndi,ergative
doma1260,Domaaki,doma1260,Indo-European,ergative
drun1238,Drung,drun1238,Trans-Himalayan,ergative
dumi1241,Dumi,dumi1241,Trans-Himalayan,ergative
dura1244,Dura,dura1244,Trans-Himalayan,ergative
duun1241,Duungidjawu,duun1241,Pama-Nyungan,ergative
dyan1250,Dhanggati,dyan1250,Pama-Nyungan,ergative
dyir1250,Dyirbal,dyir1250,Pama-Nyungan,ergative
dzon1239,Dzongkha,dzon1239,Trans-Himalayan,ergative
east2343,Yohlmo,east2343,Trans-Himalayan,ergative
east2379,Mparntwe Arrernte,east2379,Arandic,ergative
east2447,East Futunan,east2447,Austronesian,ergative
east2516,East Kewa,east2516,Trans-New Guinea,ergative
east2545,Eastern Pomo,east2545,Pomoan,ergative
east2694,Eastern Subanun,east2694,Austronesian,ergative
east2773,Dolakha Newar,east2773,Trans-Himalayan,ergative
east2851,Geshiza,east2851,Trans-Himalayan,ergative
emai1242,Emai,emai1242,Niger-Congo,ergative
ersu1241,Ersu,ersu1241,Trans-Himalayan,ergative
fala1243,Falam Chin,fala1243,Trans-Himalayan,ergative
fass1245,Momu,fass1245,Trans-New Guinea,non_ergative
fasu1242,Fasu,fasu1242,Trans-New Guinea,ergative
fran1266,Francisco León Zoque,fran1266,Mixe-Zoque,ergative
fuln1247,Fulniô,fuln1247,Fulniô,ergative
futu1245,Futuna-Aniwa,futu1245,Austronesian,ergative
gahr1239,Bunan,gahr1239,Trans-Himalayan,ergative
gana1278,Ganai,gana1278,Pama-Nyungan,ergative
guan1266,Wobzi Khroskyabs,guan1266,Trans-Himalayan,ergative
gugu1255,Guugu Yimithirr,gugu1255,Pama-Nyungan,ergative
guiq1238,Guiqiong,guiq1238,Trans-Himalayan,ergative
guny1241,Gunya,guny1241,Pama-Nyungan,ergative
gure1255,Gureng Gureng,gure1255,Pama-Nyungan,ergative
guru1261,Gurung,guru1261,Trans-Himalayan,ergative
haka1240,Haka Chin,haka1240,Trans-Himalayan,ergative
hida1246,Hidatsa,hida1246,Siouan,ergative
hind1269,Hindi,hind1269,Indo-European,ergative
hual1240,Lisu (Central/Lipo dialect),hual1240,Sino-Tibetan,ergative
huas1242,Huastec,huas1242,Mayan,ergative
hula1239,Hula,hula1239,Austronesian,non_ergative
huli1244,Huli,huli1244,Trans-New Guinea,ergative
hunz1247,Hunzib,hunz1247,Nakh-Daghestanian,ergative
hurr1240,Hurrian,hurr1240,Hurro-Urartian,ergative
iaai1238,Iaai,iaai1238,Austronesian,ergative
ibal1244,Ibaloi,ibal1244,Austronesian,ergative
iban1267,Iban,iban1267,Austronesian,ergative
ilon1239,Ilongot,ilon1239,Austronesian,ergative
isco1239,Iskonawa,isco1239,Panoan,ergative
isin1239,Isinai,isin1239,Austronesian,ergative
iwam1256,Iwam,iwam1256,Sepik,ergative
japh1234,Japhug,japh1234,Trans-Himalayan,ergative
jaru1254,Jaru,jaru1254,Pama-Nyungan,ergative
jeru1240,Jero,jeru1240,Trans-Himalayan,ergative
kaba1278,Kabardian,kaba1278,Northwest Caucasian,ergative
kaga1256,Kagayanen,kaga1256,Austronesian,ergative
kaik1246,Kaike,kaik1246,Trans-Himalayan,ergative
kaki1249,Kaki Ae,kaki1249,Trans-New Guinea,ergative
kala1399,Kalaallisut,kala1399,Eskimo-Aleut,ergative
kalk1246,Kalkatungu,kalk1246,Pama-Nyungan,ergative
kamu1260,Kamula,kamu1260,Trans-New Guinea,ergative
kank1243,Kankanaey,kank1243,Austronesian,ergative
kara1476,Karajarri,kara1476,Pama-Nyungan,ergative
kara1487,Karao,kara1487,Austronesian,ergative
kara1500,Karajá,kara1500,Macro-Jê,ergative
kari1254,Dzubukua,kari1254,Karirí,ergative
kari1311,Karitiana,kari1311,Tupian,ergative
katu1276,Katu,katu1276,Austroasiatic,ergative
lamj1247,Lamjung Yolmo,lamj1247,Trans-Himalayan,ergative
lemb1266,Lembena,lemb1266,Trans-New Guinea,ergative
lepc1244,Lepcha,lepc1244,Trans-Himalayan,ergative
lezg1247,Lezgian,lezg1247,Nakh-Daghestanian,ergative
lihi1237,Lihir,lihi1237,Austronesian,non_ergative
liji1238,Lijili,liji1238,Atlantic-Congo,non_ergative
limb1266,Limbu,limb1266,Trans-Himalayan,ergative
limo1248,Limos Kalinga,limo1248,Austronesian,non_ergative
lipo1242,Lipo,lipo1242,Trans-Himalayan,ergative
lisu1250,Lisu,lisu1250,Trans-Himalayan,ergative
lush1249,Mizo,lush1249,Trans-Himalayan,ergative
lush1252,Lushootseed,lush1252,Salish,problematic
macu1259,Macushi,macu1259,Cariban,ergative
madn1237,Matngele,madn1237,Daly,ergative
maga1263,Mag-anchi Agta,maga1263,Austronesian,ergative
mail1248,Magi,mail1248,Trans-New Guinea,ergative
mais1250,Maisin,mais1250,Trans-New Guinea,ergative
mana1288,Manange,mana1288,Trans-Himalayan,ergative
mang1381,Mangarayi,mang1381,Gunwinyguan,ergative
mang1405,Manggarai,mang1405,Austronesian,ergative
maor1246,Maori,maor1246,Austronesian,ergative
mara1378,Marathi,mara1378,Indo-European,ergative
mara1379,Maram Naga,mara1379,Trans-Himalayan,non_ergative
mara1404,Maranao,mara1404,Austronesian,non_ergative
marg1253,Margany,marg1253,Pama-Nyungan,ergative
mari1416,Maring,mari1416,Trans-New Guinea,ergative
mari1424,Marrithiyel,mari1424,Daly,ergative
masb1238,Masbatenyo,masb1238,Austronesian,ergative
mati1255,Matis,mati1255,Panoan,ergative
mats1244,Matsés,mats1244,Panoan,ergative
maxa1247,Maxakalí,maxa1247,Maxakalían,problematic
mayk1239,Mayi-Kulan,mayk1239,Pama-Nyungan,ergative
melp1238,Melpa,melp1238,Trans-New Guinea,ergative
mono1273,Mono-Alu,mono1273,Austronesian,ergative
moro1289,Marori,moro1289,Trans-New Guinea,non_ergative
munc1235,Mün Chin,munc1235,Trans-Himalayan,ergative
muru1266,Muruwari,muru1266,Pama-Nyungan,ergative
nalc1240,Nalca,nalc1240,Trans-New Guinea,ergative
namb1293,Nmbo,namb1293,Trans-New Guinea,ergative
naru1238,Narungga,naru1238,Pama-Nyungan,ergative
natc1249,Natchez,natc1249,Natchez,ergative
nhan1238,Nhanda,nhan1238,Pama-Nyungan,ergative
nina1238,Ninam,nina1238,Yanomaman,ergative
niua1240,Niuafoou,niua1240,Austronesian,ergative
niue1239,Niuean,niue1239,Austronesian,ergative
noct1238,Nocte Naga,noct1238,Trans-Himalayan,ergative
nort2722,Northern Qiang,nort2722,Trans-Himalayan,problematic
nort2745,Tundra Yukaghir,nort2745,Yukaghir,ergative
nort2885,Northern Subanen,nort2885,Austronesian,ergative
nucl1302,Georgian,nucl1302,Kartvelian,ergative
panj1256,Punjabi,panj1256,Indo-European,ergative
patt1248,Pattani,patt1248,Sino-Tibetan,ergative
pemo1248,Pemón,pemo1248,Cariban,ergative
pend1242,Pendau,pend1242,Austronesian,problematic
ship1254,Shipibo-Konibo,ship1254,Panoan,ergative
yami1258,Yaminawa,yami1258,Panoan,ergative
